,mae,mse,rmse,r2,exp_itr
SOH_task6_CRNN_tongji_nca_CY25-025_1-#7_task6,0.080123864114284,0.010710616596043,0.10349210885880601,0.83918645973517,20241.0
SOH_task6_CRNN_tongji_nca_CY25-05_1-#12_task6,0.05821229889988801,0.0052200676873320005,0.07225003589848601,0.931925789563638,20241.0
SOH_task6_CRNN_tongji_nca_CY25-05_1-#18_task6,0.05610360577702501,0.00460048392415,0.067826867273599,0.9340315568746511,20241.0
SOH_task6_CRNN_tongji_nca_CY25-05_1-#3_task6,0.07262676209211301,0.007039079442620001,0.08389922194287701,0.839705596550495,20241.0
SOH_task6_CRNN_tongji_nca_CY25-05_1-#5_task6,0.053874682635068005,0.004420201759785,0.066484597913993,0.9131924410489051,20241.0
SOH_task6_CRNN_tongji_nca_CY25-1_1-#4_task6,0.321561783552169,0.13133531808853102,0.36240214967426904,-1.323049891809301,20241.0
SOH_task6_CRNN_tongji_nca_CY25-1_1-#5_task6,0.17613011598587,0.042009707540273,0.204962697923972,-0.6250219303613921,20241.0
SOH_task6_CRNN_tongji_nca_CY35-05_1-#1_task6,0.039646036922931005,0.002446409547701,0.04946119234007,0.9594691512337431,20241.0
SOH_task6_CRNN_tongji_nca_CY45-05_1-#11_task6,0.022860933095216,0.000924636435229,0.030407835096062003,0.9826231589700141,20241.0
SOH_task6_CRNN_tongji_nca_CY45-05_1-#15_task6,0.030408829450607,0.001715954043902,0.041424075655377,0.9713806998293891,20241.0
SOH_task6_CRNN_tongji_nca_CY45-05_1-#18_task6,0.022581981495022,0.0009390091872770001,0.030643256799456002,0.984134352958509,20241.0
SOH_task6_CRNN_tongji_nca_CY45-05_1-#1_task6,0.024322591722011,0.0014047947479410002,0.037480591616744004,0.9740373951937461,20241.0
SOH_task6_CRNN_tongji_nca_CY45-05_1-#25_task6,0.030647996813058003,0.001532531459815,0.039147560074873,0.9762168158751511,20241.0
0,0.07608472942732784,0.01648452388158454,0.091529399312968,0.6429101227432861,
