,mae,mse,rmse,r2,exp_itr
RUL_task10_Informer_xjtu_pseudo_3C_battery-10_task10,31.225536346435547,1941.718505859375,44.06493377685547,-1.093150377273559,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-11_task10,33.454856872558594,1865.101806640625,43.186824798583984,-1.9309964179992671,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-12_task10,25.405588150024414,1621.3350830078125,40.265804290771484,0.115717351436614,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-13_task10,24.496875762939453,1354.6787109375,36.80596160888672,0.260617494583129,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-14_task10,37.33182144165039,2331.345703125,48.28401184082031,-1.720375299453735,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-15_task10,42.401466369628906,3011.527587890625,54.87738800048828,-2.01948618888855,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-1_task10,19.215072631835938,860.79052734375,29.339231491088867,0.8011763691902161,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-2_task10,15.903122901916504,559.39501953125,23.651533126831055,0.866518378257751,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-3_task10,21.66605567932129,829.142578125,28.794836044311523,0.821920692920684,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-4_task10,16.938844680786133,462.6698303222656,21.509761810302734,0.9261899590492241,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-5_task10,20.828506469726562,953.0840454101562,30.872058868408203,0.75478196144104,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-6_task10,18.690784454345703,723.1837158203125,26.892074584960938,0.8702807426452631,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-7_task10,18.288713455200195,557.1861572265625,23.60479164123535,0.9077882766723631,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-8_task10,24.167617797851562,1293.3800048828125,35.963592529296875,0.5917089581489561,20241.0
RUL_task10_Informer_xjtu_pseudo_3C_battery-9_task10,22.645858764648438,1452.4208984375,38.11064147949219,0.6747360229492181,20241.0
0,24.84404811859131,1321.1306783040366,35.081563059488936,0.05516186157862323,
