,mae,mse,rmse,r2,exp_itr
SOH_task10_Informer_xjtu_pseudo_3C_battery-10_task10,0.13569742441177302,0.041936554014682006,0.20478416979312802,0.24714612960815402,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-11_task10,0.16442385315895,0.043400630354881,0.208328172564506,-0.372317194938659,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-12_task10,0.051104269921779,0.012489183805882001,0.11175501346588101,0.80457603931427,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-13_task10,0.053531724959611005,0.007209111470729001,0.084906488656997,0.8812073469161981,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-14_task10,0.16160677373409202,0.044085994362831005,0.20996664464473702,-0.024323463439941,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-15_task10,0.19618590176105502,0.06488798558712,0.254731208086013,-0.672343492507934,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-1_task10,0.029936291277408003,0.0014953296631570001,0.038669493049383004,0.9685673117637631,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-2_task10,0.026418963447213003,0.001002890407107,0.031668443232774006,0.9815074205398561,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-3_task10,0.10259108990430801,0.024174088612198,0.15548019111156403,0.573116481304168,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-4_task10,0.03334667161107,0.001843413221649,0.042934987694025005,0.9588766694068901,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-5_task10,0.028360053896903003,0.0011143097653980001,0.033381279557943004,0.9825674295425411,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-6_task10,0.02820947766304,0.0016115535981950002,0.040144160389900006,0.9616121053695671,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-7_task10,0.043684441596269004,0.0031041854526840003,0.05571521818637801,0.954372465610504,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-8_task10,0.040265757590532004,0.0033738312777130005,0.058084689080715006,0.9331341385841371,20241.0
SOH_task10_Informer_xjtu_pseudo_3C_battery-9_task10,0.041075993329286006,0.006043456029146001,0.077739670872688,0.9163454771041871,20241.0
0,0.0757625792175526,0.0171848345082248,0.10721932202577547,0.6062696576118468,
