,mae,mse,rmse,r2
RUL_DeNN_bagging_tri_task1_policy1C(4%)-6C_id9_cl300,18.232093811035156,466.404052734375,21.596389807890926,0.953544408090038
RUL_DeNN_bagging_tri_task1_policy2C(10%)-6C_id10_cl148,30.009462356567383,1464.107177734375,38.26365348126568,-1.180368013454825
RUL_DeNN_bagging_tri_task1_policy2C(2%)-5C_id11_cl438,18.23082160949707,524.1453857421875,22.894221667097298,0.9679446346563961
RUL_DeNN_bagging_tri_task1_policy2C(7%)-5.5C_id12_cl335,22.485023498535156,661.192138671875,25.713656656957117,0.9489332706193041
RUL_DeNN_bagging_tri_task1_policy3.6C(22%)-5.5C_id13_cl444,19.834510803222656,953.7156372070312,30.88228678720265,0.9466172532311731
RUL_DeNN_bagging_tri_task1_policy4.4C(55%)-6C_id19_cl461,24.020374298095703,874.0984497070312,29.5651560068103,0.9598120094709561
RUL_DeNN_bagging_tri_task1_policy4.9C(27%)-4.75C_id24_cl468,21.467004776000977,1007.0565185546875,31.734153818160767,0.9479919550775541
RUL_DeNN_bagging_tri_task1_policy4C(31%)-5C_id28_cl458,21.508644104003906,719.4969482421875,26.823440276038184,0.9609363293378561
RUL_DeNN_bagging_tri_task1_policy5.2C(71%)-3C_id36_cl463,20.926822662353516,647.6857299804688,25.4496705279355,0.965334271581972
RUL_DeNN_bagging_tri_task1_policy5.6C(47%)-4C_id39_cl465,20.410924911499023,610.4144287109375,24.706566509957177,0.9664243560291311
RUL_DeNN_bagging_tri_task1_policy5.6C(58%)-3.5C_id40_cl459,13.234285354614258,264.33709716796875,16.25844694821645,0.9839265894137421
RUL_DeNN_bagging_tri_task1_policy5.6C(65%)-3C_id42_cl429,33.63178253173828,1906.0819091796875,43.6586979785207,0.850170822653959
RUL_DeNN_bagging_tri_task1_policy6C(20%)-4.5C_id43_cl466,33.42323303222656,2465.242431640625,49.651207756112285,0.8345451208240571
RUL_DeNN_bagging_tri_task1_policy6C(31%)-4.25C_id44_cl462,26.638120651245117,1373.687255859375,37.063287170181965,0.922252018231115
RUL_DeNN_bagging_tri_task1_policy6C(40%)-4C_id45_cl457,29.115737915039062,1438.8291015625,37.931900842990984,0.9012827416265611
RUL_DeNN_bagging_tri_task1_policy6C(52%)-3.5C_id47_cl429,21.32872200012207,856.3116455078125,29.262803104074163,0.9432112627126701
0,23.406097769737244,1014.5503692626953,30.71597120871326,0.8045349393813539
