,mae,mse,rmse,r2
SOH_DeNN_bagging_tri_task1_policy1C(4%)-6C_id9_cl300,0.029040854424238004,0.0010504231322550001,0.032410231906848004,0.565413624617862
SOH_DeNN_bagging_tri_task1_policy2C(10%)-6C_id10_cl148,0.043536961078643,0.002636830555275,0.051350078434945004,0.042531223247143
SOH_DeNN_bagging_tri_task1_policy2C(2%)-5C_id11_cl438,0.010694754309952,0.000317689351504,0.017823842220595,0.820317503315337
SOH_DeNN_bagging_tri_task1_policy2C(7%)-5.5C_id12_cl335,0.019000409170985,0.000496414373628,0.022280358471730002,0.777105219088502
SOH_DeNN_bagging_tri_task1_policy3.6C(22%)-5.5C_id13_cl444,0.011185933835804001,0.00046470141387500006,0.021556934241107002,0.8085664552478721
SOH_DeNN_bagging_tri_task1_policy4.4C(55%)-6C_id19_cl461,0.015531438402831001,0.000358384684659,0.018931050807061003,0.84961457800975
SOH_DeNN_bagging_tri_task1_policy4.9C(27%)-4.75C_id24_cl468,0.009068206883966,0.00015954095579200002,0.01263095229158,0.923817095240529
SOH_DeNN_bagging_tri_task1_policy4C(31%)-5C_id28_cl458,0.021992776542901,0.001125897048041,0.033554389400512,0.087265253633394
SOH_DeNN_bagging_tri_task1_policy5.2C(71%)-3C_id36_cl463,0.009152920916676001,0.000184901116881,0.013597835007144001,0.919933295654156
SOH_DeNN_bagging_tri_task1_policy5.6C(47%)-4C_id39_cl465,0.010070979595184,0.00015691410226200002,0.012526535924301,0.9256699500111201
SOH_DeNN_bagging_tri_task1_policy5.6C(58%)-3.5C_id40_cl459,0.016073638573288,0.000566609262023,0.023803555659252,0.596211286758054
SOH_DeNN_bagging_tri_task1_policy5.6C(65%)-3C_id42_cl429,0.019114265218377002,0.0010283079463980001,0.032067241016321,-0.016691136527485002
SOH_DeNN_bagging_tri_task1_policy6C(20%)-4.5C_id43_cl466,0.013840278610587,0.000540322740562,0.0232448433112,0.7762427392209601
SOH_DeNN_bagging_tri_task1_policy6C(31%)-4.25C_id44_cl462,0.01000655349344,0.000178660251549,0.013366385133963002,0.9167256105618541
SOH_DeNN_bagging_tri_task1_policy6C(40%)-4C_id45_cl457,0.020083779469132,0.000965530285611,0.031072983210688004,0.177744431504045
SOH_DeNN_bagging_tri_task1_policy6C(52%)-3.5C_id47_cl429,0.013850244693458,0.00028906669467600003,0.017001961494982003,0.8365985470624591
0,0.017015249701216376,0.0006575121196869374,0.02357619865826432,0.6254416047903472
