,mae,mse,rmse,r2
RUL_DeNN_fusion_xjtu_task10_3C_battery-1,41.60715103149414,2757.02587890625,52.50738880296991,0.337815244878492
RUL_DeNN_fusion_xjtu_task10_3C_battery-10,28.872114181518555,2244.355224609375,47.37462637962832,-0.5099712826815971
RUL_DeNN_fusion_xjtu_task10_3C_battery-11,31.90122413635254,2319.15966796875,48.157654303015526,-2.5800283668647213
RUL_DeNN_fusion_xjtu_task10_3C_battery-12,25.665647506713867,1346.1485595703125,36.68989724120677,0.492244415013032
RUL_DeNN_fusion_xjtu_task10_3C_battery-13,24.37789535522461,1130.8377685546875,33.627931374895596,0.5917504222761241
RUL_DeNN_fusion_xjtu_task10_3C_battery-14,30.703277587890625,2213.05126953125,47.04307886959834,-1.311990004884057
RUL_DeNN_fusion_xjtu_task10_3C_battery-15,33.37666320800781,3174.85009765625,56.3458081640174,-1.610213097911887
RUL_DeNN_fusion_xjtu_task10_3C_battery-2,67.39117431640625,7159.94287109375,84.61644563023047,-1.070940651186821
RUL_DeNN_fusion_xjtu_task10_3C_battery-3,36.00483322143555,2305.405029296875,48.01463349122718,0.48161692644521903
RUL_DeNN_fusion_xjtu_task10_3C_battery-4,38.668766021728516,2443.68310546875,49.43362322821128,0.5824629150079671
RUL_DeNN_fusion_xjtu_task10_3C_battery-5,35.430381774902344,1904.8289794921875,43.64434647800546,0.531829056684587
RUL_DeNN_fusion_xjtu_task10_3C_battery-6,40.324581146240234,2612.676025390625,51.11434265830506,0.46284312031678904
RUL_DeNN_fusion_xjtu_task10_3C_battery-7,39.902584075927734,2488.681640625,49.88668801017963,0.514578338320642
RUL_DeNN_fusion_xjtu_task10_3C_battery-8,53.021400451660156,4760.4560546875,68.99605825471119,-0.43830228822944806
RUL_DeNN_fusion_xjtu_task10_3C_battery-9,22.03589630126953,920.2926025390625,30.33632480276842,0.8264739874357301
0,36.618906021118164,2652.092985026042,49.85258984593138,-0.17998875102533
