,mae,mse,rmse,r2
SOH_DeNN_fusion_hust_task8_1-1,0.089970275759696,0.013026375323534001,0.114133147347884,0.713463020048545
SOH_DeNN_fusion_hust_task8_1-2,0.057820986956357005,0.004994597751647001,0.070672468130434,0.9282963363598751
SOH_DeNN_fusion_hust_task8_10-1,0.031056463718414,0.0017248955555260001,0.041531861931847006,0.977667127424071
SOH_DeNN_fusion_hust_task8_10-4,0.058934025466442004,0.009222643449902,0.096034595068144,0.8621190304262061
SOH_DeNN_fusion_hust_task8_10-6,0.057177927345037,0.005358875729143,0.07320434228338901,0.9341930000946851
SOH_DeNN_fusion_hust_task8_10-7,0.036980587989091006,0.002594990190118,0.050941046221279006,0.9684681480763541
SOH_DeNN_fusion_hust_task8_2-5,0.06032059714198101,0.005730439443141001,0.075699666070209,0.9244074316726051
SOH_DeNN_fusion_hust_task8_3-1,0.033213049173355005,0.0019572791643440004,0.044241147864223,0.974240210147934
SOH_DeNN_fusion_hust_task8_4-5,0.047267641872167004,0.006610390264540001,0.081304306555931,0.8850191573132471
SOH_DeNN_fusion_hust_task8_5-3,0.053750410676002,0.0038175384979690003,0.061786232268762,0.9603964915662421
SOH_DeNN_fusion_hust_task8_6-1,0.10273965448141001,0.020098727196455002,0.141769979884512,0.492358197084436
SOH_DeNN_fusion_hust_task8_6-2,0.055969491600990004,0.005542872473597,0.07445046993537001,0.932271036215186
SOH_DeNN_fusion_hust_task8_6-6,0.097725801169872,0.018966250121593,0.137718009430841,0.7055037296337331
SOH_DeNN_fusion_hust_task8_6-8,0.053913757205009,0.004092855844646,0.063975431570616,0.9595328094468071
SOH_DeNN_fusion_hust_task8_7-5,0.032335195690393004,0.0019074849551540003,0.043674763366895006,0.9725159490399091
SOH_DeNN_fusion_hust_task8_7-6,0.06601069867610901,0.010372065007686001,0.101843335607621,0.766759767575644
SOH_DeNN_fusion_hust_task8_8-1,0.07718916982412301,0.010548003949224,0.102703475838089,0.767278397662234
SOH_DeNN_fusion_hust_task8_8-5,0.09701620042324001,0.019688647240400002,0.14031624011638902,0.47043851614687704
SOH_DeNN_fusion_hust_task8_8-6,0.063100315630435,0.006294031161814001,0.079334930275477,0.904032144439413
SOH_DeNN_fusion_hust_task8_8-8,0.037692401558160005,0.0031305707525460004,0.055951503577171005,0.9617644812978831
SOH_DeNN_fusion_hust_task8_9-4,0.046298913657665,0.004131975583732001,0.06428044480035901,0.9444177642131921
SOH_DeNN_fusion_hust_task8_9-6,0.05181712284684101,0.0052608139812940005,0.07253146890346701,0.9294272206007781
0,0.05946821313012678,0.007503287438091138,0.08127722122949588,0.8606622712039027
