,mae,mse,rmse,r2
SOH_DeNN_voting_xjtu_task10_3C_battery-1,0.084431715309619,0.0110943922773,0.105329921092253,0.727072134414059
SOH_DeNN_voting_xjtu_task10_3C_battery-10,0.142516270279884,0.045104939490556,0.212379235073857,-0.071735236006497
SOH_DeNN_voting_xjtu_task10_3C_battery-11,0.21560673415660803,0.082267738878726,0.28682353264459803,-1.456229343737026
SOH_DeNN_voting_xjtu_task10_3C_battery-12,0.10401534289121601,0.019767723977565002,0.140597738166606,0.481513634547574
SOH_DeNN_voting_xjtu_task10_3C_battery-13,0.096591182053089,0.01483347825706,0.12179276767140101,0.5940051019327931
SOH_DeNN_voting_xjtu_task10_3C_battery-14,0.165207594633102,0.048255871981382,0.21967219209855002,-0.670572909897541
SOH_DeNN_voting_xjtu_task10_3C_battery-15,0.18635939061641602,0.06224408000707601,0.24948763497832102,-1.321383949890932
SOH_DeNN_voting_xjtu_task10_3C_battery-2,0.183084353804588,0.04932403191924,0.22209014367873403,-0.779212845338337
SOH_DeNN_voting_xjtu_task10_3C_battery-3,0.188969388604164,0.08353746682405401,0.28902848791088803,-0.44334413427106306
SOH_DeNN_voting_xjtu_task10_3C_battery-4,0.07100970298051801,0.007047380320727,0.083948676706234,0.858935704274827
SOH_DeNN_voting_xjtu_task10_3C_battery-5,0.07369447499513601,0.009375859983265001,0.09682902448783301,0.7537416406203951
SOH_DeNN_voting_xjtu_task10_3C_battery-6,0.089334890246391,0.015798065811395,0.125690356875122,0.58555984593288
SOH_DeNN_voting_xjtu_task10_3C_battery-7,0.12288542836904501,0.028553204610943003,0.16897693514484002,0.304203513186009
SOH_DeNN_voting_xjtu_task10_3C_battery-8,0.13050720095634402,0.026177482679486,0.161794569375755,0.039852772775244
SOH_DeNN_voting_xjtu_task10_3C_battery-9,0.06236856803297901,0.009664399549365,0.09830767797768901,0.7738653751990621
0,0.12777214919527327,0.034203074437876006,0.17218325959217873,0.02508475358276318
