,mae,mse,rmse,r2,exp_itr
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#10_task7,0.075702540576457,0.009556945413351,0.09775963425636201,0.8517871499061581,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#11_task7,0.08779314905405,0.011904698796570001,0.10910865664482101,0.8522125482559201,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#12_task7,0.07790658622980101,0.009349249303340001,0.09669151902198701,0.8804165124893181,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#13_task7,0.090869888663291,0.012400484643876001,0.11135746538639,0.844506084918975,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#14_task7,0.080206044018268,0.010521069169044,0.102572262287139,0.869803071022033,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#15_task7,0.043993826955556,0.0037834290415040004,0.061509583145380006,0.9418386220932001,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#16_task7,0.146964743733406,0.031735565513372005,0.1781447827816,0.585886359214782,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#17_task7,0.048897236585617,0.004777843598276,0.069121949374675,0.936344861984252,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#18_task7,0.048845194280147004,0.0045378482900550006,0.06736355274915601,0.9389258623123161,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#19_task7,0.049919243901968,0.004526658449321,0.067280448973178,0.9414732456207271,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#1_task7,0.07582098990678701,0.009238637983798,0.096117831766605,0.8584632873535151,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#20_task7,0.050882764160633004,0.004663077648729,0.06828673183917901,0.940179407596588,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#21_task7,0.054068025201559004,0.004895204212516001,0.069965735077857,0.937294244766235,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#22_task7,0.048729326575994006,0.004099193494766,0.06402494758367501,0.947789192199707,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#23_task7,0.106983095407485,0.017020873725414002,0.130464076995849,0.783696174621582,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#24_task7,0.051973231136798005,0.004682075697928,0.06842569261789301,0.9399535655975341,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#25_task7,0.053809825330972005,0.0048093111254270005,0.06934919953346201,0.9381747245788571,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#26_task7,0.051065262407064,0.0044315946288400005,0.066570222377777,0.943380951881408,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#27_task7,0.049879852682352004,0.003977122250944,0.0630644261837,0.9483733177185051,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#28_task7,0.052810616791248,0.004635451827198001,0.06808415055274901,0.940393090248107,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#2_task7,0.079197116196155,0.010526698082685,0.102599695324897,0.8402111530303951,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#3_task7,0.06056559085845901,0.007018359843641001,0.08377565443515701,0.8752340078353881,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#4_task7,0.055394891649484,0.005774636287242001,0.07599102705717001,0.8997860550880431,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#5_task7,0.052738800644874004,0.004884180612862,0.069886915385723,0.9158689379692071,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#6_task7,0.078801900148391,0.010879672132432001,0.10430566966533601,0.8056708574295041,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#7_task7,0.076791606843471,0.010045145638287001,0.10022547096014,0.849087417125701,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#8_task7,0.07242935895919801,0.008993451483547,0.09483380615711201,0.868778944015502,2024.0
SOH_task7_MambaLithium_tongji_ncm_CY45-05_1-#9_task7,0.070477820932865,0.008258402347564,0.090875752270221,0.8754423856735231,2024.0
0,0.0676256617797268,0.008283102901518893,0.08741988787161395,0.8839632868766782,
