,mae,mse,rmse,r2
SOH_3C_battery-10_lstm_mmd,0.15502038598060602,0.038656424731016006,0.19661237176489202,-0.9693464833317911
SOH_3C_battery-11_lstm_mmd,0.177176505327224,0.05157192423939701,0.227094527101374,-1.920324325621413
SOH_3C_battery-12_lstm_mmd,0.08864046633243501,0.014044716954231,0.118510408632454,0.405611448892708
SOH_3C_battery-13_lstm_mmd,0.07008681446313801,0.009418234229087,0.09704758744599301,0.646421702785137
SOH_3C_battery-14_lstm_mmd,0.17171764373779203,0.047026857733726,0.216856767784006,-1.088650046308589
SOH_3C_battery-15_lstm_mmd,0.199852600693702,0.06415756046772,0.253293427604665,-2.5760349584782958
SOH_3C_battery-1_lstm_mmd,0.056252870708703,0.008505029603838001,0.092222717395655,0.7358942279796891
SOH_3C_battery-2_lstm_mmd,0.054802305996418006,0.0077354512177400005,0.087951413961009,0.733441373398765
SOH_3C_battery-3_lstm_mmd,0.16390384733676902,0.053828485310077,0.23200966641516801,-0.367999412915302
SOH_3C_battery-4_lstm_mmd,0.055630307644605005,0.006398622412234001,0.07999138961309801,0.8265453888808161
SOH_3C_battery-5_lstm_mmd,0.06464509665966,0.009827220812439,0.09913233989188301,0.698183261022702
SOH_3C_battery-6_lstm_mmd,0.054009784013032004,0.008444027975201001,0.09189139228024301,0.704204978751206
SOH_3C_battery-7_lstm_mmd,0.099522285163402,0.020902246236801002,0.144576091511705,0.20918576145239
SOH_3C_battery-8_lstm_mmd,0.059475243091583,0.0072669615037730005,0.085246475022571,0.72325667551251
SOH_3C_battery-9_lstm_mmd,0.068936690688133,0.010572103783488001,0.10282073615515601,0.681967612223855
0,0.10264485652248015,0.02389039114738453,0.1416838208386581,-0.03717618638370754
