,mae,mse,rmse,r2
RUL_3C_battery-10_lenet5_mmd,23.396835327148438,1351.060302734375,36.756772202335384,-0.290204195392729
RUL_3C_battery-11_lenet5_mmd,30.465742111206055,1579.9013671875,39.74797312049383,-3.238078199714701
RUL_3C_battery-12_lenet5_mmd,21.360599517822266,1133.1431884765625,33.66219227080379,0.44773740623566005
RUL_3C_battery-13_lenet5_mmd,21.609256744384766,896.38232421875,29.939644690923604,0.62067711410167
RUL_3C_battery-14_lenet5_mmd,27.27157211303711,1587.6099853515625,39.84482382131414,-1.449328724699247
RUL_3C_battery-15_lenet5_mmd,30.925125122070312,2197.345458984375,46.87585155476511,-1.495474066804846
RUL_3C_battery-1_lenet5_mmd,23.860095977783203,1001.474853515625,31.646087491436045,0.7761302284703581
RUL_3C_battery-2_lenet5_mmd,45.94302749633789,3529.3271484375,59.40814042231502,-0.655154369454483
RUL_3C_battery-3_lenet5_mmd,28.028202056884766,1147.294921875,33.871742232648735,0.7627770376593731
RUL_3C_battery-4_lenet5_mmd,25.899839401245117,1069.60693359375,32.70484572037835,0.8152762252331881
RUL_3C_battery-5_lenet5_mmd,26.934782028198242,1242.4774169921875,35.24879312816522,0.706917994316831
RUL_3C_battery-6_lenet5_mmd,29.199975967407227,1451.0849609375,38.09310910043311,0.7081581355082851
RUL_3C_battery-7_lenet5_mmd,28.544240951538086,1164.1021728515625,34.11894155526461,0.7840337731386341
RUL_3C_battery-8_lenet5_mmd,37.31869888305664,2181.51806640625,46.70672399565452,-0.12702260337579702
RUL_3C_battery-9_lenet5_mmd,26.640567779541016,1446.1197509765625,38.02788123175629,0.7152431469988171
0,28.493237431844076,1531.896590169271,38.44356816924585,-0.06122073985193243
