,mae,mse,rmse,r2
SOH_CY45-05_1-#10_lenet5_mmd,0.074620351195335,0.007646306883543,0.08744316373247,0.8573298495432721
SOH_CY45-05_1-#11_lenet5_mmd,0.09012515097856501,0.011994259431958,0.10951830637824,0.7975889469006101
SOH_CY45-05_1-#12_lenet5_mmd,0.085878826677799,0.011208971962332,0.10587243249464201,0.820075701607182
SOH_CY45-05_1-#13_lenet5_mmd,0.09912351518869401,0.013832917436957,0.11761342371072,0.778873837934081
SOH_CY45-05_1-#14_lenet5_mmd,0.08400835096836001,0.010921002365648,0.104503599773638,0.817741284162631
SOH_CY45-05_1-#15_lenet5_mmd,0.058413889259099,0.0053998273797330005,0.073483517741962,0.9004988048193721
SOH_CY45-05_1-#16_lenet5_mmd,0.14263367652893,0.025473535060882003,0.159604307776709,0.5324195324598411
SOH_CY45-05_1-#17_lenet5_mmd,0.065964311361312,0.006335394456982,0.07959519116744801,0.888054806536357
SOH_CY45-05_1-#18_lenet5_mmd,0.06417748332023601,0.006015410646796,0.07755907842926,0.8924070708481271
SOH_CY45-05_1-#19_lenet5_mmd,0.06632173806428901,0.007035690825432,0.083879024943263,0.8871946280891561
SOH_CY45-05_1-#1_lenet5_mmd,0.07327143102884201,0.007767577655613001,0.08813386213943701,0.858859968128819
SOH_CY45-05_1-#20_lenet5_mmd,0.06641542166471401,0.007386764045804001,0.08594628581739101,0.8820729953915231
SOH_CY45-05_1-#21_lenet5_mmd,0.06969808787107401,0.007602573838084,0.08719273959501901,0.8797177391691231
SOH_CY45-05_1-#22_lenet5_mmd,0.066996693611145,0.007124486379325,0.084406672599536,0.885912458391905
SOH_CY45-05_1-#23_lenet5_mmd,0.101304106414318,0.014663540758192001,0.121093107806317,0.7628328489553131
SOH_CY45-05_1-#24_lenet5_mmd,0.069102868437767,0.007234579883515,0.08505633358848601,0.8865628571331451
SOH_CY45-05_1-#25_lenet5_mmd,0.07075579464435501,0.007780085783451,0.088204794560453,0.879328122657628
SOH_CY45-05_1-#26_lenet5_mmd,0.06954970955848601,0.007550052832812001,0.086891040003052,0.8812328225735481
SOH_CY45-05_1-#27_lenet5_mmd,0.0708943977952,0.007725645322352001,0.08789565019016901,0.8814932543845271
SOH_CY45-05_1-#28_lenet5_mmd,0.06901416927576001,0.007419941481202,0.086139082193873,0.8825689414305351
SOH_CY45-05_1-#2_lenet5_mmd,0.07585567981004701,0.007853769697248,0.088621496812279,0.8507067826536091
SOH_CY45-05_1-#3_lenet5_mmd,0.08397962898015901,0.011133016087114,0.10551310860321901,0.754454824638323
SOH_CY45-05_1-#4_lenet5_mmd,0.077373094856739,0.009484542533755,0.09738861603778501,0.8035797413578071
SOH_CY45-05_1-#5_lenet5_mmd,0.078033708035945,0.009823573753237001,0.099113943283665,0.7979403098938751
SOH_CY45-05_1-#6_lenet5_mmd,0.10567028075456601,0.016252733767032002,0.127486210105378,0.668888499306833
SOH_CY45-05_1-#7_lenet5_mmd,0.07514206320047301,0.008166620507836,0.090369356022029,0.8477246292109181
SOH_CY45-05_1-#8_lenet5_mmd,0.076848484575748,0.00869218353182,0.093231880447735,0.83799391230355
SOH_CY45-05_1-#9_lenet5_mmd,0.07222201675176601,0.007522273808717001,0.08673104293572001,0.862151408020522
0,0.07869267610034726,0.009537402789906144,0.09601740246035341,0.8312930920893619
