,mae,mse,rmse,r2
RUL_CY45-05_1-#10_lenet5_coral,22.911457061767578,784.8958129882812,28.01599209359328,0.9287160572395691
RUL_CY45-05_1-#11_lenet5_coral,48.271766662597656,3268.959228515625,57.174812885707155,0.9252586063461361
RUL_CY45-05_1-#12_lenet5_coral,48.615238189697266,3270.100341796875,57.18479117559909,0.9233873165634381
RUL_CY45-05_1-#13_lenet5_coral,54.94194030761719,4077.635498046875,63.856366151284206,0.917801133747383
RUL_CY45-05_1-#14_lenet5_coral,54.26688003540039,4358.63623046875,66.01996842220352,0.9125212150769341
RUL_CY45-05_1-#15_lenet5_coral,23.32379913330078,833.0228271484375,28.862134833522582,0.9150154917498631
RUL_CY45-05_1-#16_lenet5_coral,34.44950866699219,1733.4117431640625,41.63426165028104,0.92061283129695
RUL_CY45-05_1-#17_lenet5_coral,34.13356018066406,1701.403564453125,41.24807346353433,0.9209958339937091
RUL_CY45-05_1-#18_lenet5_coral,32.774715423583984,1619.86376953125,40.24753122281229,0.9274237705076711
RUL_CY45-05_1-#19_lenet5_coral,47.43948745727539,3132.10302734375,55.96519478518546,0.9208083425655721
RUL_CY45-05_1-#1_lenet5_coral,26.47275733947754,1062.016845703125,32.588599934687664,0.9249358530898271
RUL_CY45-05_1-#20_lenet5_coral,47.009037017822266,3152.30419921875,56.14538448722878,0.9214477651528601
RUL_CY45-05_1-#21_lenet5_coral,50.11011505126953,3492.08984375,59.09390699344561,0.9319112718809871
RUL_CY45-05_1-#22_lenet5_coral,49.756195068359375,3455.60595703125,58.784402327754,0.9251886722576441
RUL_CY45-05_1-#23_lenet5_coral,48.57477569580078,3931.012939453125,62.6977905468217,0.92886206534266
RUL_CY45-05_1-#24_lenet5_coral,52.811702728271484,3879.698486328125,62.28722570742836,0.9222074051014981
RUL_CY45-05_1-#25_lenet5_coral,55.26877212524414,4295.71923828125,65.54173661325468,0.9217814843182651
RUL_CY45-05_1-#26_lenet5_coral,49.803016662597656,3534.723388671875,59.45353974888186,0.9235163040837461
RUL_CY45-05_1-#27_lenet5_coral,53.1398811340332,4135.40478515625,64.30711302147104,0.924934422008825
RUL_CY45-05_1-#28_lenet5_coral,52.6478271484375,3740.10888671875,61.15642964332328,0.9237721664108741
RUL_CY45-05_1-#2_lenet5_coral,25.945676803588867,1002.0850219726562,31.655726527322923,0.9280203317341601
RUL_CY45-05_1-#3_lenet5_coral,12.748773574829102,287.4659729003906,16.95482152369616,0.887892137083869
RUL_CY45-05_1-#4_lenet5_coral,12.845380783081055,253.86827087402344,15.933244204305144,0.9056863587058501
RUL_CY45-05_1-#5_lenet5_coral,13.003539085388184,301.85455322265625,17.373961932232277,0.886700834035632
RUL_CY45-05_1-#6_lenet5_coral,12.038936614990234,230.56480407714844,15.184360509324996,0.916067574295213
RUL_CY45-05_1-#7_lenet5_coral,22.84300422668457,772.0518188476562,27.785820463820322,0.9276043786979741
RUL_CY45-05_1-#8_lenet5_coral,23.53767204284668,870.092041015625,29.497322607579573,0.9184803298154051
RUL_CY45-05_1-#9_lenet5_coral,22.332670211791992,726.34619140625,26.950810589038877,0.9310504745925111
0,36.85778880119324,2282.2516174316406,44.41433300233358,0.9200928724176796
