,mae,mse,rmse,r2
SOH_CY25-025_1-#7_lenet5_coral,0.121802099049091,0.017467403784394,0.132164306014877,0.7278930358058581
SOH_CY25-05_1-#12_lenet5_coral,0.133463785052299,0.023004248738288,0.15167151590951,0.514572746985377
SOH_CY25-05_1-#18_lenet5_coral,0.116143584251403,0.019629141315817,0.14010403747150801,0.574631793662795
SOH_CY25-05_1-#3_lenet5_coral,0.11328059434890701,0.019320050254464,0.13899658360716602,0.39585459731439704
SOH_CY25-05_1-#5_lenet5_coral,0.07676256448030401,0.010949838906526,0.10464147794506001,0.7002802815989111
SOH_CY25-1_1-#4_lenet5_coral,0.31388205289840704,0.131016612052917,0.36196216936707204,-1.487181037867389
SOH_CY25-1_1-#5_lenet5_coral,0.169337898492813,0.034226242452859004,0.18500335795022702,0.016675076588896002
SOH_CY35-05_1-#1_lenet5_coral,0.06384461373090701,0.0059498408809300005,0.077135211680077,0.8823418979760451
SOH_CY45-05_1-#11_lenet5_coral,0.049368571490049,0.0035506011918180003,0.059586921315157006,0.934721957285748
SOH_CY45-05_1-#15_lenet5_coral,0.06538506597280501,0.0061035132966930005,0.078124985098837,0.904267848522418
SOH_CY45-05_1-#18_lenet5_coral,0.053509313613176006,0.003815486095845,0.061769621140538,0.9291542801237961
SOH_CY45-05_1-#1_lenet5_coral,0.035695258527994,0.002174417721107,0.04663065216258001,0.9598201235871561
SOH_CY45-05_1-#25_lenet5_coral,0.056565821170806004,0.005132663063704,0.071642606483188,0.902423493996323
0,0.10531086331376624,0.021718466135027845,0.12380257278044594,0.5350350842754101
