,mae,mse,rmse,r2
RUL_1-1_dbgru_adv,158.87754821777344,35883.32421875,189.42894239991418,0.658467391986566
RUL_1-2_dbgru_adv,140.5133514404297,33847.16015625,183.97597711725842,0.92674839541714
RUL_10-1_dbgru_adv,78.16047668457031,8227.5390625,90.70578296062496,0.9548022894021061
RUL_10-4_dbgru_adv,108.70063781738281,17750.849609375,133.23231443375514,0.9399313804419601
RUL_10-6_dbgru_adv,108.6447525024414,21177.65625,145.525448805355,0.9406310940136671
RUL_10-7_dbgru_adv,95.44007110595703,12781.5625,113.05557261807132,0.9571098444986441
RUL_2-5_dbgru_adv,90.19483184814453,14202.1083984375,119.17259919309262,0.911121624444522
RUL_3-1_dbgru_adv,85.74105834960938,9790.529296875,98.94710352948691,0.9715621243433531
RUL_4-5_dbgru_adv,74.50830078125,8788.0126953125,93.74440087446557,0.938806268171081
RUL_5-3_dbgru_adv,111.42399597167969,21765.9765625,147.53296771399943,0.953892770251996
RUL_6-1_dbgru_adv,191.37139892578125,54576.9453125,233.6170912251499,0.547911925280084
RUL_6-2_dbgru_adv,121.76537322998047,23392.177734375,152.945015395648,0.9298222713627191
RUL_6-6_dbgru_adv,246.50233459472656,104311.859375,322.9734654348558,0.7421328617490931
RUL_6-8_dbgru_adv,144.7583465576172,30156.9609375,173.65759683209947,0.9408328394976561
RUL_7-5_dbgru_adv,87.89017486572266,10499.8759765625,102.46890248540042,0.966369354644205
RUL_7-6_dbgru_adv,79.73115539550781,11661.3056640625,107.98752550208056,0.888114550769718
RUL_8-1_dbgru_adv,127.71036529541016,26196.712890625,161.85398632911392,0.677767625151465
RUL_8-5_dbgru_adv,166.8180389404297,47609.828125,218.19676469874616,0.42010661317451903
RUL_8-6_dbgru_adv,137.6283416748047,30783.96484375,175.45359740897305,0.907840252630967
RUL_8-8_dbgru_adv,84.83285522460938,9957.7646484375,99.78859979194768,0.962203159299807
RUL_9-4_dbgru_adv,81.5948715209961,8802.8583984375,93.82354927435595,0.9748877070149701
RUL_9-6_dbgru_adv,62.22848892211914,5247.5439453125,72.43993336076794,0.9774939530743131
0,117.50167135758834,24882.387118252842,146.84214260841648,0.8676616498463887
