,mae,mse,rmse,r2
SOH_CY25-025_1-#7_dbgru_adv,0.18569256365299203,0.03930664807558,0.19825904285953902,0.381340713605871
SOH_CY25-05_1-#12_dbgru_adv,0.15064889192581102,0.024746090173721,0.15730890049110802,0.596737857024019
SOH_CY25-05_1-#18_dbgru_adv,0.143096715211868,0.023989459499716002,0.15488531079387902,0.5116413697832101
SOH_CY25-05_1-#3_dbgru_adv,0.11293148249387701,0.018178423866629,0.134827385447577,0.42503195906929503
SOH_CY25-05_1-#5_dbgru_adv,0.083033464848995,0.010931334458291002,0.10455302223413501,0.6863567528395721
SOH_CY25-1_1-#4_dbgru_adv,0.336682319641113,0.142985150218009,0.37813377291377903,-2.189851941606646
SOH_CY25-1_1-#5_dbgru_adv,0.21762533485889402,0.066061861813068,0.257025021764551,-2.2063096778406672
SOH_CY35-05_1-#1_dbgru_adv,0.072153188288211,0.007295449730008001,0.085413404861349,0.9008979706741881
SOH_CY45-05_1-#11_dbgru_adv,0.06444039940834001,0.0051660519093270005,0.07187525241226901,0.9050122017336141
SOH_CY45-05_1-#15_dbgru_adv,0.067003101110458,0.006899080704897,0.083060704938602,0.9023935985647921
SOH_CY45-05_1-#18_dbgru_adv,0.06883349269628501,0.005640790797770001,0.075105198207381,0.9031152018728911
SOH_CY45-05_1-#1_dbgru_adv,0.042080927640199,0.0031236407812680004,0.05588954089334101,0.9433756079198391
SOH_CY45-05_1-#25_dbgru_adv,0.040879901498556005,0.003058079164475,0.055299902029526005,0.94519495445463
0,0.12193090640581529,0.027490927784058386,0.1393566507574643,0.2849951206226622
