,mae,mse,rmse,r2,exp_itr
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#10_task7,0.087335392832756,0.009980829432606001,0.099904097616672,0.6697502136230461,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#11_task7,0.09919228404760301,0.011845319531857001,0.10883620381355201,0.7931719422340391,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#12_task7,0.115411885082721,0.016195207834243,0.127260386943817,0.717134952545166,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#13_task7,0.12136644124984701,0.018781598657369003,0.137045979499816,0.6822133660316461,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#14_task7,0.11434832215309101,0.016542913392186002,0.12861925363540602,0.7186374664306641,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#15_task7,0.09149872511625201,0.011789745651185,0.10858059674501401,0.6354489326477051,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#16_task7,0.047279048711061006,0.0031140698119990003,0.055803850293159006,0.9412485361099241,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#17_task7,0.040672898292541004,0.0025975473690770003,0.050966139882802006,0.9491025209426881,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#18_task7,0.04277005046606,0.0026482532266520003,0.051461182534694005,0.949042797088623,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#19_task7,0.11146646738052302,0.015089848078787,0.122840739786624,0.7429923415184021,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#1_task7,0.071110315620899,0.0064051398076110004,0.08003211766481401,0.813892066478729,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#20_task7,0.11334955692291201,0.015774544328451,0.12559674680233002,0.7329473495483391,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#21_task7,0.116168498992919,0.017044376581907,0.130554109811782,0.711611151695251,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#22_task7,0.124671153724193,0.019511919468641,0.139685079455375,0.6712852716445921,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#23_task7,0.08488128334283801,0.008413553237915001,0.091725423932075,0.8542903065681451,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#24_task7,0.125353023409843,0.019915310665965,0.141121610999107,0.663152158260345,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#25_task7,0.139895290136337,0.025870041921734,0.16084167361259402,0.553840041160583,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#26_task7,0.125953555107116,0.020103985443711003,0.141788527369499,0.660008311271667,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#27_task7,0.141098499298095,0.026189818978309003,0.16183269023895203,0.537635922431945,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#28_task7,0.127842918038368,0.021052815020084003,0.145095884799957,0.639750599861145,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#2_task7,0.068518914282321,0.005895101465284,0.07677956670522601,0.8291379213333131,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#3_task7,0.14239658415317502,0.029650833457708,0.17219416797161102,-0.6417601108551021,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#4_task7,0.1508649289608,0.034096512943506005,0.18465241789817802,-0.9227933883666991,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#5_task7,0.14724123477935702,0.032181352376937006,0.17939162254333402,-0.735209345817565,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#6_task7,0.174118727445602,0.045482300221920006,0.213265791535377,-1.9562792778015132,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#7_task7,0.079333908855915,0.007888533174991,0.08881741762161201,0.7564787864685051,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#8_task7,0.08280918002128601,0.00888677034527,0.09426967054605401,0.716065883636474,20241.0
soh_task7_iTransformer_tongji_ncm_CY45-05_1-#9_task7,0.08514169603586101,0.009226187132298001,0.09605304151773401,0.699653267860412,20241.0
0,0.10614609944501044,0.016506229627078685,0.12196485684918455,0.47794464230537415,
