,mae,mse,rmse,r2,exp_itr
RUL_task1_OURS_tri_pseudo_policy1C(4%)-6C_id9_cl300_task1,0.47215297818183904,0.25680428743362405,0.506758630275726,0.999965667724609,2024.0
RUL_task1_OURS_tri_pseudo_policy2C(10%)-6C_id10_cl148_task1,0.790645778179168,0.9842898249626161,0.9921138286590571,0.9994703531265251,2024.0
RUL_task1_OURS_tri_pseudo_policy2C(2%)-5C_id11_cl438_task1,0.60989910364151,2.570373058319092,1.603238344192504,0.9998389482498161,2024.0
RUL_task1_OURS_tri_pseudo_policy2C(7%)-5.5C_id12_cl335_task1,0.38167294859886103,0.17771497368812503,0.421562552452087,0.9999809861183161,2024.0
RUL_task1_OURS_tri_pseudo_policy3.6C(22%)-5.5C_id13_cl444_task1,0.28936547040939303,0.128895580768585,0.35902029275894104,0.9999921321868891,2024.0
RUL_task1_OURS_tri_pseudo_policy4.4C(55%)-6C_id19_cl461_task1,0.504998624324798,0.30947792530059803,0.55630737543106,0.999982476234436,2024.0
RUL_task1_OURS_tri_pseudo_policy4.9C(27%)-4.75C_id24_cl468_task1,0.47067874670028603,3.860684871673584,1.964862585067749,0.999788165092468,2024.0
RUL_task1_OURS_tri_pseudo_policy4C(31%)-5C_id28_cl458_task1,0.759658873081207,3.66673994064331,1.914873361587524,0.9997900724411011,2024.0
RUL_task1_OURS_tri_pseudo_policy5.2C(71%)-3C_id36_cl463_task1,0.39280816912651,0.187026709318161,0.43246585130691506,0.9999895095825191,2024.0
RUL_task1_OURS_tri_pseudo_policy5.6C(47%)-4C_id39_cl465_task1,0.438420504331588,0.23315106332302002,0.482857197523117,0.9999870657920831,2024.0
RUL_task1_OURS_tri_pseudo_policy5.6C(58%)-3.5C_id40_cl459_task1,0.6188497543334961,2.66006326675415,1.6309700012207031,0.9998481869697571,2024.0
RUL_task1_OURS_tri_pseudo_policy5.6C(65%)-3C_id42_cl429_task1,0.6470620036125181,1.9654918909072872,1.401960015296936,0.999871432781219,2024.0
RUL_task1_OURS_tri_pseudo_policy6C(20%)-4.5C_id43_cl466_task1,0.41905412077903703,0.23914845287799802,0.48902806639671303,0.9999867677688591,2024.0
RUL_task1_OURS_tri_pseudo_policy6C(31%)-4.25C_id44_cl462_task1,0.45970344543457003,0.27241981029510504,0.521938502788543,0.9999846816062921,2024.0
RUL_task1_OURS_tri_pseudo_policy6C(40%)-4C_id45_cl457_task1,0.8154436945915221,3.977983713150024,1.9944883584976192,0.999771356582641,2024.0
RUL_task1_OURS_tri_pseudo_policy6C(52%)-3.5C_id47_cl429_task1,0.5211388468742371,0.327432721853256,0.572217345237731,0.9999786019325251,2024.0
0,0.5369720663875338,1.3636061307042835,0.990291394293308,0.9998891502618787,
