,mae,mse,rmse,r2,exp_itr
SOH_task8_OURS_hust_pseudo_1-1_task8,0.009823975153267,0.00017998758994500002,0.01341594569385,0.99776268005371,2024.0
SOH_task8_OURS_hust_pseudo_1-2_task8,0.014492597430944,0.000267284776782,0.016348846256732,0.9966774582862851,2024.0
SOH_task8_OURS_hust_pseudo_10-1_task8,0.019545964896678,0.000459419883554,0.021434081718325,0.9939224123954771,2024.0
SOH_task8_OURS_hust_pseudo_10-4_task8,0.015551842749118002,0.000411942251957,0.020296361297369003,0.994577825069427,2024.0
SOH_task8_OURS_hust_pseudo_10-6_task8,0.012835092842578001,0.000277192215435,0.016649089753627,0.9964745044708251,2024.0
SOH_task8_OURS_hust_pseudo_10-7_task8,0.007850379683077,0.000104143604403,0.010205077007412001,0.9986763596534721,2024.0
SOH_task8_OURS_hust_pseudo_2-5_task8,0.018905505537986003,0.0006648323033000001,0.025784341618418003,0.9919802546501161,2024.0
SOH_task8_OURS_hust_pseudo_3-1_task8,0.009334651753306,0.00012632663128800002,0.011239511892199001,0.998342394828796,2024.0
SOH_task8_OURS_hust_pseudo_4-5_task8,0.008731816895306001,0.000130306390929,0.011415182612836,0.998256564140319,2024.0
SOH_task8_OURS_hust_pseudo_5-3_task8,0.015080583281815002,0.00030396785587,0.017434673383831003,0.9960784912109371,2024.0
SOH_task8_OURS_hust_pseudo_6-1_task8,0.011060080491006001,0.00021908311464300002,0.014801456592977002,0.997433006763458,2024.0
SOH_task8_OURS_hust_pseudo_6-2_task8,0.010493073612451,0.00019303667068,0.013893763534724001,0.99760901927948,2024.0
SOH_task8_OURS_hust_pseudo_6-6_task8,0.026343999430537002,0.000955877534579,0.030917270109057003,0.989145815372467,2024.0
SOH_task8_OURS_hust_pseudo_6-8_task8,0.050263207405805005,0.003147050039842,0.05609857290983201,0.958356618881225,2024.0
SOH_task8_OURS_hust_pseudo_7-5_task8,0.014160806313157002,0.00036937376717100006,0.019219098612666,0.995135426521301,2024.0
SOH_task8_OURS_hust_pseudo_7-6_task8,0.018821489065885003,0.000525024486705,0.022913413122296,0.992783069610595,2024.0
SOH_task8_OURS_hust_pseudo_8-1_task8,0.013489405624568001,0.00033449594047800003,0.018289230763912,0.9955397844314571,2024.0
SOH_task8_OURS_hust_pseudo_8-5_task8,0.012454040348529,0.000301529711578,0.017364609986543,0.9961937069892881,2024.0
SOH_task8_OURS_hust_pseudo_8-6_task8,0.009478379972279,0.00013736024266100002,0.011720078997313001,0.998304069042205,2024.0
SOH_task8_OURS_hust_pseudo_8-8_task8,0.009371792897582,0.000120225988212,0.010964761488139001,0.9984379410743711,2024.0
SOH_task8_OURS_hust_pseudo_9-4_task8,0.013233161531388002,0.00029284149059,0.017112612724304,0.9961543083190911,2024.0
SOH_task8_OURS_hust_pseudo_9-6_task8,0.013099402189254001,0.000335432734573,0.018314823508262003,0.9951867461204521,2024.0
0,0.015200965868478,0.0004480334193261364,0.018901491072028362,0.9942285662347619,
