,mae,mse,rmse,r2,exp_itr
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#10_task7,114.5146713256836,15930.6259765625,126.21658325195312,-2.157546997070312,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#11_task7,166.0860595703125,50684.1015625,225.1313018798828,-1.810872793197631,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#12_task7,173.7963409423828,72633.640625,269.50628662109375,-1.8008637428283691,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#13_task7,219.3943634033203,90030.71875,300.05120849609375,-2.055351018905639,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#14_task7,225.00709533691406,92054.609375,303.405029296875,-2.193973541259765,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#15_task7,120.0409164428711,17194.09765625,131.1262664794922,-0.33236193656921303,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#16_task7,79.37837982177734,10783.40625,103.84317779541016,0.164463937282562,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#17_task7,91.2532730102539,11955.21875,109.33992004394531,0.24917680025100702,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#18_task7,74.89884948730469,9766.923828125,98.82775115966797,0.20470041036605802,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#19_task7,166.90248107910156,64799.76953125,254.5579833984375,-1.555568695068359,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#1_task7,184.76199340820312,37322.32421875,193.1898651123047,-4.888017177581787,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#20_task7,180.84596252441406,71280.375,266.9838562011719,-1.791637420654296,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#21_task7,231.56454467773438,112936.515625,336.0602722167969,-1.848793268203735,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#22_task7,223.38597106933594,101668.875,318.8555603027344,-1.980640172958374,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#23_task7,180.27809143066406,62282.81640625,249.5652618408203,-1.291903495788574,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#24_task7,236.82705688476562,114858.484375,338.90777587890625,-2.05106258392334,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#25_task7,283.046630859375,150812.09375,388.3453369140625,-2.430198669433593,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#26_task7,227.9840850830078,105783.390625,325.24359130859375,-2.079296827316284,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#27_task7,267.1844482421875,143216.328125,378.4393310546875,-2.425199270248413,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#28_task7,244.1022186279297,116056.625,340.67083740234375,-2.051610231399536,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#2_task7,171.86984252929688,32502.783203125,180.2852783203125,-3.6051149368286133,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#3_task7,48.596900939941406,3497.985107421875,59.143768310546875,-2.92370343208313,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#4_task7,48.421043395996094,3174.523681640625,56.34291076660156,-3.647115707397461,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#5_task7,47.744998931884766,3316.023681640625,57.58492660522461,-6.723594665527344,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#6_task7,40.58464431762695,2261.274169921875,47.5528564453125,-4.163614273071289,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#7_task7,122.4972152709961,17568.0390625,132.5444793701172,-2.411772727966308,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#8_task7,105.22593688964844,13532.1650390625,116.32783508300781,-1.362234830856323,20241.0
rul_task7_PatchTST_tongji_ncm_CY45-05_1-#9_task7,106.71664428710938,13922.5634765625,117.99391174316406,-1.5920274257659912,20241.0
0,156.53252356392997,55065.22492327009,208.07297011784144,-2.162704810500145,
