,mae,mse,rmse,r2,exp_itr
soh_task8_PatchTST_hust_pseudo_HUST_1-1_task8,0.11201058328151701,0.02130644954741,0.14596728980541201,0.521071016788482,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_1-2_task8,0.05840716883540101,0.00556496111676,0.074598670005798,0.904207229614257,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_10-1_task8,0.09440410137176501,0.010852515697479,0.10417541116476,0.736463069915771,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_10-4_task8,0.101228140294551,0.014162530191242001,0.11900643259286801,0.585374236106872,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_10-6_task8,0.059999570250511,0.005743533838540001,0.075786106288433,0.9187327623367311,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_10-7_task8,0.076271064579486,0.009011689573526,0.09492991864681201,0.8411073684692381,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_2-5_task8,0.12817966938018802,0.041128702461719006,0.20280212163925102,-0.051720976829528004,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_3-1_task8,0.06131208315491601,0.0074791917577380004,0.08648232370615001,0.843971371650695,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_4-5_task8,0.050827350467443,0.0045709181576960006,0.067608565092086,0.9475908875465391,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_5-3_task8,0.069239743053913,0.008231219835579,0.09072607010602901,0.788542687892913,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_6-1_task8,0.131404563784599,0.029243294149637004,0.17100670933723403,0.145836353302001,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_6-2_task8,0.070898614823818,0.009090815670788,0.095345765352249,0.7868713736534111,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_6-6_task8,0.23084020614624,0.08050132542848501,0.283727556467056,-4.7379984855651855,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_6-8_task8,0.076219670474529,0.014212260022759,0.11921518296003301,0.689367175102233,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_7-5_task8,0.086673974990844,0.012273097410798002,0.11078400909900601,0.6838251352310181,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_7-6_task8,0.074170738458633,0.008009027689695001,0.08949317038059201,0.8493158221244811,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_8-1_task8,0.12937882542610102,0.023754201829433,0.154123976826667,0.47266364097595204,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_8-5_task8,0.15446388721466,0.033675834536552006,0.183509767055511,-0.036289930343627,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_8-6_task8,0.075083918869495,0.008337995968759001,0.091312624514102,0.8400880694389341,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_8-8_task8,0.055053755640983006,0.005990451667457,0.077398009598255,0.899928748607635,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_9-4_task8,0.063710205256938,0.0077268341556190005,0.087902411818504,0.845346748828887,20241.0
soh_task8_PatchTST_hust_pseudo_HUST_9-6_task8,0.069568663835525,0.009221161715686,0.096026882529258,0.8761958479881281,20241.0
0,0.09224302270872982,0.016822182382879865,0.11917858977209392,0.4250222796743563,
