,mae,mse,rmse,r2,exp_itr
rul_task1_TSMixer_tri_pseudo_policy1C(4%)-6C_id9_cl300_task1,113.09120178222656,16558.501953125,128.67984008789062,0.180466175079345,1.0
rul_task1_TSMixer_tri_pseudo_policy2C(10%)-6C_id10_cl148_task1,151.50344848632812,24940.5859375,157.92588806152344,-1.976582288742065,1.0
rul_task1_TSMixer_tri_pseudo_policy2C(2%)-5C_id11_cl438_task1,167.88160705566406,33897.21875,184.11196899414062,0.213540315628051,1.0
rul_task1_TSMixer_tri_pseudo_policy2C(7%)-5.5C_id12_cl335_task1,263.91357421875,74737.046875,273.3807678222656,-2.4135794639587402,1.0
rul_task1_TSMixer_tri_pseudo_policy3.6C(22%)-5.5C_id13_cl444_task1,525.4055786132812,303676.65625,551.0686645507812,-2.721550941467285,1.0
rul_task1_TSMixer_tri_pseudo_policy4.4C(55%)-6C_id19_cl461_task1,109.6801986694336,14260.32421875,119.4166030883789,0.563747406005859,1.0
rul_task1_TSMixer_tri_pseudo_policy4.9C(27%)-4.75C_id24_cl468_task1,209.89669799804688,46994.62890625,216.78244018554688,-1.039086818695068,1.0
rul_task1_TSMixer_tri_pseudo_policy4C(31%)-5C_id28_cl458_task1,131.85174560546875,23626.82421875,153.71018981933594,0.47051858901977506,1.0
rul_task1_TSMixer_tri_pseudo_policy5.2C(71%)-3C_id36_cl463_task1,421.3017272949219,183254.828125,428.0827331542969,-4.815735340118408,1.0
rul_task1_TSMixer_tri_pseudo_policy5.6C(47%)-4C_id39_cl465_task1,348.4560852050781,126784.0859375,356.0675354003906,-3.003369331359863,1.0
rul_task1_TSMixer_tri_pseudo_policy5.6C(58%)-3.5C_id40_cl459_task1,116.28254699707031,17191.525390625,131.116455078125,0.255895495414733,1.0
rul_task1_TSMixer_tri_pseudo_policy5.6C(65%)-3C_id42_cl429_task1,264.4696960449219,79671.953125,282.26220703125,-2.797188997268676,1.0
rul_task1_TSMixer_tri_pseudo_policy6C(20%)-4.5C_id43_cl466_task1,400.12652587890625,171664.265625,414.3238525390625,-2.5729446411132812,1.0
rul_task1_TSMixer_tri_pseudo_policy6C(31%)-4.25C_id44_cl462_task1,106.08638000488281,18690.0625,136.71160888671875,0.19195723533630302,1.0
rul_task1_TSMixer_tri_pseudo_policy6C(40%)-4C_id45_cl457_task1,394.9885559082031,169425.375,411.6131286621094,-2.472830057144165,1.0
rul_task1_TSMixer_tri_pseudo_policy6C(52%)-3.5C_id47_cl429_task1,457.3755798339844,225394.21875,474.75701904296875,-3.9327845573425293,1.0
0,261.394446849823,95673.00634765625,276.2506814002991,-1.6168454512953758,
