,mae,mse,rmse,r2,exp_itr
soh_task10_TSMixer_xjtu_pseudo_3C_battery-10_task10,0.61701899766922,0.417552173137664,0.6461827754974361,-83.36022186279297,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-11_task10,0.6340808868408201,0.43754580616950906,0.6614724397659301,-80.73798370361328,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-12_task10,0.49921795725822404,0.26699021458625705,0.5167109370231621,-16.461782455444336,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-13_task10,0.5040927529335021,0.27394124865531905,0.5233939886093141,-17.121803283691406,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-14_task10,0.607879042625427,0.40231603384017905,0.6342839002609251,-60.09665298461914,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-15_task10,0.5998325347900391,0.400644272565841,0.632964670658111,-77.6273422241211,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-1_task10,0.29688072204589805,0.09250849485397301,0.304152101278305,-1.3979566097259521,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-2_task10,0.439403891563415,0.20193758606910703,0.44937467575073203,-6.932274341583252,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-3_task10,0.33580461144447304,0.13760042190551702,0.370945304632186,-1.014916181564331,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-4_task10,0.28935840725898704,0.08955151587724601,0.29925158619880604,-1.246091365814209,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-5_task10,0.33076220750808705,0.115462511777877,0.339797765016555,-2.0475594997406,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-6_task10,0.38090109825134205,0.151863783597946,0.38969704508781405,-3.354341506958008,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-7_task10,0.27325358986854503,0.08393832296133001,0.289721101522445,-0.23161172866821203,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-8_task10,0.43141487240791304,0.19283720850944502,0.439132332801818,-7.451234817504883,1.0
soh_task10_TSMixer_xjtu_pseudo_3C_battery-9_task10,0.409128099679946,0.18288354575634003,0.42764887213706904,-7.87982177734375,1.0
0,0.4432686448097226,0.22983820935090338,0.4616486330827072,-24.464106289545693,
