,mae,mse,rmse,r2
3C_battery-1,81.71834564208984,8478.7021484375,92.07986831244656,-2.157668025611582
3C_battery-10,47.15108108520508,2977.603759765625,54.56742397956518,-5.145371044788225
3C_battery-11,33.406314849853516,1490.72607421875,38.60992196597592,-2.2052466386444642
3C_battery-12,33.41030502319336,1900.9766845703125,43.600191336395675,-0.5215838993713641
3C_battery-13,33.15690612792969,1849.633056640625,43.00736049376461,-0.1280453419143
3C_battery-14,38.09703826904297,1947.72412109375,44.13302755413172,-3.008533901854005
3C_battery-15,44.35244369506836,2516.135009765625,50.16109059585552,-2.619200662122103
3C_battery-2,56.04043197631836,4835.64794921875,69.53882332351296,-0.48217658888247705
3C_battery-3,65.73915100097656,6102.966796875,78.12148742103545,-3.065577414641706
3C_battery-4,81.11888885498047,8760.595703125,93.59805394945452,-1.405923567857407
3C_battery-5,73.79646301269531,6824.13818359375,82.60834209445042,-1.823798340505404
3C_battery-6,70.17481994628906,6695.0361328125,81.82320045569288,-1.166693813941129
3C_battery-7,79.36188507080078,8525.8154296875,92.33534225683847,-1.421746001472407
3C_battery-8,45.769187927246094,3538.8564453125,59.48828830377035,-1.6429327368750042
3C_battery-9,53.96109390258789,4725.75537109375,68.74412972097144,-1.731924419395162
0,55.81695709228516,4744.687524414063,66.16110345092412,-1.9017614931917828
