,mae,mse,rmse,r2
policy1C(4%)-6C_id9_cl300,0.016124438494443002,0.00043801902211200005,0.020928903987373,0.644599855892647
policy2C(10%)-6C_id10_cl148,0.018418321385979,0.000532459234818,0.023075078219126,0.543490469906531
policy2C(2%)-5C_id11_cl438,0.009318639524281,0.000247081072302,0.01571881268743,0.803971433233514
policy2C(7%)-5.5C_id12_cl335,0.012800361961126001,0.00045232020784100003,0.021267820947189,0.690605526199871
policy3.6C(22%)-5.5C_id13_cl444,0.012864591553807002,0.000335239397827,0.018309543900041,0.7521303893515551
policy4.4C(55%)-6C_id19_cl461,0.010175271891057,0.00014804143575,0.012167227940258001,0.8773905494487381
policy4.9C(27%)-4.75C_id24_cl468,0.009388093836605,0.000153931599925,0.012406917422360001,0.892331783945365
policy4C(31%)-5C_id28_cl458,0.018352054059505,0.0005393817555150001,0.023224593764282,0.593651769106334
policy5.2C(71%)-3C_id36_cl463,0.010283740237355002,0.00018678096239400002,0.013666783176539,0.8473753699866271
policy5.6C(47%)-4C_id39_cl465,0.014235689304769001,0.000270863121841,0.01645791973006,0.779387154677118
policy5.6C(58%)-3.5C_id40_cl459,0.010782541707158,0.00022029789397400002,0.014842435580959,0.8226227232748101
policy5.6C(65%)-3C_id42_cl429,0.018365113064646003,0.0007466744282280001,0.027325344064225,0.023909052384233003
policy6C(20%)-4.5C_id43_cl466,0.017558624967932,0.0007407946977760001,0.027217543933581,0.320142686568173
policy6C(31%)-4.25C_id44_cl462,0.014498163014650001,0.0005103101721030001,0.022590045863241003,0.5299558106508401
policy6C(40%)-4C_id45_cl457,0.012531022541224,0.00047635738155800005,0.021825612970957,0.5586982563441251
policy6C(52%)-3.5C_id47_cl429,0.011845609173178001,0.000442755350377,0.021041752550047,0.49520922414863605
0,0.013596392294857191,0.0004025817333963126,0.019504146046104245,0.635967003444945
