,mae,mse,rmse,r2
1-1,0.011369629763066,0.000230693258345,0.015188589741813,0.9969429302908721
1-2,0.010446043685078002,0.00021995829592900002,0.014830991063622002,0.997106230236196
10-1,0.011674324981868002,0.000280779466265,0.016756475353301003,0.9965290170255191
10-4,0.014512862078845001,0.00033540307777000004,0.018314013153048002,0.995308317242049
10-6,0.007702668197453,0.00012882245937300001,0.011349998210291002,0.9983040898771111
10-7,0.017038896679878002,0.0005138179403720001,0.022667552588953,0.9931031902642311
2-5,0.012161472812294,0.00026603881269600003,0.016310696266466,0.9967253523116401
3-1,0.015533127821981001,0.00040605897083800005,0.020150904963271002,0.994168420043218
4-5,0.016663240268826002,0.00044855702435500004,0.02117916486446,0.9936917991342411
5-3,0.010694305412471001,0.00020518583187300002,0.014324309123782,0.9970404934392151
6-1,0.011127487756311,0.000225401789066,0.015013386995158001,0.997339659100098
6-2,0.022715171799063003,0.0009860496502360002,0.031401427519094,0.98685801908863
6-6,0.017085125669836002,0.00044051508302800005,0.020988451182209003,0.994757034490739
6-8,0.010986463166773,0.000208810830372,0.014450288245304001,0.9974194916877811
7-5,0.013354550115764,0.000325388624332,0.018038531656785,0.9954236402397251
7-6,0.012931411154568001,0.000300571176921,0.017336988692444003,0.996001006278558
8-1,0.012898357585072,0.000303250533761,0.017414090092837002,0.996091621806742
8-5,0.01298392098397,0.000295718695269,0.017196473338155,0.9962458492511981
8-6,0.014771396294236001,0.000332841067574,0.018243932349548003,0.9958796262950321
8-8,0.016841260716319,0.000584830122534,0.024183261205515002,0.991992930794315
9-4,0.014343232847750001,0.000322806154144,0.017966807010287,0.9951200327214731
9-6,0.017310528084635003,0.0005017423536620001,0.022399606105082,0.992925090263662
0,0.01387024899436623,0.0003574200553961364,0.018441179078246592,0.9952260837219202
