,mae,mse,rmse,r2,exp_itr
RUL_task10_DRNet_xjtu_pseudo_3C_battery-10_task10,19.927722930908203,1032.6439208984375,32.134777436578545,-0.155747666137616,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-11_task10,26.993486404418945,1239.8223876953125,35.21111170774522,-3.8504424193107982,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-12_task10,20.08361053466797,762.6731567382812,27.616537739881174,0.5276764930897571,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-13_task10,15.377095222473145,365.34271240234375,19.113940263649035,0.8182828971015931,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-14_task10,23.953577041625977,1147.6480712890625,33.87695487036966,-1.462445229811839,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-15_task10,29.037567138671875,1591.257568359375,39.890569917705804,-1.738266771838925,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-1_task10,13.479828834533691,361.5091247558594,19.013393299352416,0.9375473918232031,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-2_task10,15.048199653625488,546.3106689453125,23.373289647486775,0.9017558024115441,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-3_task10,16.97325325012207,432.93878173828125,20.807181013733725,0.9286163732266761,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-4_task10,8.137801170349121,107.43373107910156,10.365024412856034,0.9855724212834491,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-5_task10,10.488677978515625,177.943115234375,13.339532047053787,0.9682333968368271,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-6_task10,11.80265998840332,216.44448852539062,14.712052491932953,0.968582665412508,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-7_task10,14.679927825927734,372.4970397949219,19.30018237724509,0.9524079577888471,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-8_task10,23.627527236938477,1175.3564453125,34.283471897001625,0.58965955180005,20241.0
RUL_task10_DRNet_xjtu_pseudo_3C_battery-9_task10,11.470829963684082,517.6236572265625,22.751344075165374,0.9310714392892521,20241.0
0,17.405451011657714,669.8296579996745,24.38595754651715,0.153500286864302,
