Cycle,voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,RUL,SOH
1,3.4550602,0.0436642,0.69614655,1.1326249,0.23212321,760.0,0.0007323077,4.7246842,0.2408025,0.11320987,-0.79947025,0.62252814,0.011576644,175.0,-0.0041296,3.2316089,1486,0.999866
2,3.454559,0.04394501,0.7046558,1.1379135,0.23364836,765.0,0.0007369231,4.726099,0.24179973,0.11288795,-0.8057589,0.616837,0.011623489,175.0,-0.0040848,3.237121,1485,1.0
3,3.4541187,0.04357109,0.74817425,1.151818,0.2336496,765.0,0.00073615386,4.7273912,0.2406886,0.112932876,-0.8022278,0.61983454,0.0115708,175.0,-0.0041072,3.2373002,1484,0.9998336
4,3.4550447,0.04430838,0.76059276,1.1590753,0.23365133,765.0,0.00075153843,4.7233353,0.24069,0.10973921,-0.8263393,0.6005045,0.011239089,170.0,-0.00412,3.2122293,1483,0.99782753
5,3.4555728,0.044816222,0.7432757,1.1575452,0.23365067,765.0,0.0007414815,4.72223,0.24531,0.1170338,-0.7990374,0.62213236,0.012137778,180.0,-0.0041296,3.2634497,1482,0.9979191
6,3.454506,0.043847844,0.71711636,1.14506,0.23212364,760.0,0.0007392308,4.721249,0.24434723,0.113627225,-0.81000805,0.6125808,0.011748511,175.0,-0.0040848,3.2382262,1481,0.9957833
7,3.4547274,0.04407079,0.7214399,1.151052,0.23212467,760.0,0.0007415385,4.7163224,0.24109109,0.11423284,-0.79511577,0.6251597,0.011919178,180.0,-0.00407,3.2580416,1480,0.9957583
8,3.4548051,0.043995526,0.7129877,1.1443193,0.23212332,760.0,0.0007392308,4.722779,0.24141864,0.11443119,-0.7908816,0.62727106,0.011938111,180.0,-0.0040848,3.2609956,1479,0.99604297
9,3.4553928,0.044855062,0.75375,1.1648982,0.2321252,760.0,0.0007437037,4.7139583,0.23734675,0.11170483,-0.797801,0.62414587,0.011739889,180.0,-0.0039436,3.257254,1478,0.9937253
10,3.4552882,0.04509245,0.76129997,1.1697938,0.23212142,760.0,0.00074814813,4.7145896,0.23785865,0.11128925,-0.79814434,0.623189,0.011761533,180.0,-0.004027,3.259058,1477,0.99368644
11,3.4544618,0.04388267,0.7236189,1.1532742,0.2305956,755.0,0.0007415385,4.709578,0.24368568,0.1148779,-0.7957757,0.6239159,0.0120484885,180.0,-0.0040924,3.2609525,1476,0.99186087
12,3.4551263,0.044321902,0.7105071,1.1518784,0.23059554,755.0,0.0007438462,4.7114887,0.24466108,0.114623934,-0.80676514,0.61713177,0.012100667,180.0,-0.0040324,3.2688699,1475,0.9917464
13,3.4551198,0.044529084,0.7096829,1.1516087,0.23059712,755.0,0.0007461538,4.7080083,0.24481703,0.114266805,-0.81238264,0.6127939,0.012115112,180.0,-0.0040328,3.2662323,1474,0.9916451
14,3.4550052,0.044756003,0.76488817,1.171416,0.23060042,755.0,0.00076076924,4.7045574,0.23982622,0.11236707,-0.7987419,0.6194822,0.011866623,180.0,-0.0039732,3.2654195,1473,0.9897485
15,3.4543893,0.044075318,0.6870224,1.1476301,0.22907166,750.0,0.0007369231,4.6990776,0.24146324,0.111494265,-0.8152637,0.60930884,0.011944889,180.0,-0.0038692,3.269274,1472,0.989697
16,3.4546776,0.044258352,0.6688401,1.1416895,0.2290684,750.0,0.0007369231,4.704811,0.2386821,0.11236422,-0.79872125,0.62261766,0.012134622,185.0,-0.003884,3.2859669,1471,0.9898262
