Cycle,slope,intercept,Tavg,IR,chargetime,dQdV_max,dQdV_min,dQdV_var,RUL,SOH
1.0,0.009954423602877278,0.010416164451056958,33.6762003847058,0.0,10.054233333333332,-0.12783196946772077,-6.481094903123312,3.3635177148505773,747.0,0.997276797780166
2.0,0.009951610032427973,0.010330280655298126,34.62601019536526,0.0,10.055006666666667,-0.1320112882347536,-6.489147960169669,3.373453627913459,746.0,0.9982855787315842
3.0,0.009973771375164734,0.010307098869713394,34.794364956190854,0.0,10.054494999999998,-0.1350860359629352,-6.490629080559887,3.386688362535246,745.0,0.9989828117445069
4.0,0.009963372972250192,0.010268596567686144,34.89105671335854,0.0,10.054296666666657,-0.13293484064812286,-6.447698857317129,3.3806502189057897,744.0,0.9993680191312024
5.0,0.00992389930369913,0.010198246584174071,34.8906023216778,0.0,10.05352499999999,-0.135679164128087,-6.47968067228587,3.3904809213083613,743.0,0.9993487205468492
6.0,0.009902745166209748,0.010159070602841293,34.877829254054426,0.0,10.053811666666661,-0.13523969793212798,-6.389153087645096,3.363111593769218,742.0,0.9996003664438127
7.0,0.009859810245595332,0.01010323927596333,34.85942658210845,0.0,10.05313499999999,-0.13530546734610635,-6.474998404797395,3.360567471298256,741.0,0.999581641084737
8.0,0.009832312531599082,0.0100696533789139,34.878808762584285,0.0,10.05312166666669,-0.13646089338874626,-6.381363769353399,3.345999608149607,740.0,0.9997039291440056
9.0,0.009808503924384787,0.010038344007654196,34.862759494723704,0.0,10.052939999999944,-0.1378172591551578,-6.38066039950646,3.324595924142243,739.0,0.9995909082267286
10.0,0.009798170845999538,0.01003000727860536,34.868121735509575,0.0,10.052379999999964,-0.1349920408222038,-6.37299370986775,3.326796772399151,738.0,0.9997588632331299
11.0,0.009791981876052664,0.010026231560408634,34.81195110822167,0.0,10.052933333333325,-0.13566924718886839,-6.322257387581264,3.3124456540085188,737.0,0.9997988934650311
12.0,0.009778736762544668,0.010006723379675885,34.82441014452404,0.0,10.053266666666666,-0.13703481586233757,-6.35028257436796,3.3147516451330232,736.0,0.9998717886128607
13.0,0.009769496028401404,0.010002577707750418,34.88100158624603,0.0,10.053874999999971,-0.1370351359301325,-6.349091485582749,3.304071067750014,735.0,0.9998610884076747
14.0,0.009760978501098028,0.009999436705047384,34.81855783592818,0.0,10.053280000000086,-0.13560894404468854,-6.288904183586666,3.2865949121668363,734.0,0.9998337646694319
15.0,0.009748251527234394,0.009988694709469292,34.85232677916133,0.0,10.053411666666701,-0.13852499547266128,-6.295040383465697,3.2762928596002614,733.0,0.9997643088732692
16.0,0.009739309445720457,0.009980423995438024,34.86888553668373,0.0,10.053701666666651,-0.13894984126256021,-6.315358123384641,3.2763098066499095,732.0,0.9997796904182241
17.0,0.009739940925630804,0.009981958450033676,34.8591407822292,0.0,10.053706666666645,-0.13710783262322143,-6.341553359124452,3.2777196278573912,731.0,0.9997823654695207
