Cycle,slope,intercept,Tavg,IR,chargetime,dQdV_max,dQdV_min,dQdV_var,RUL,SOH
1.0,0.009696156068986923,0.010241346112406942,33.27639980451523,0.0,10.053293333333333,-0.1247278728433026,-6.582257245246111,3.2628332859385774,738.0,0.9969612303471911
2.0,0.009680781841423508,0.010149336657797473,34.226664804210884,0.0,10.054716666666666,-0.13769639038497905,-6.609605251660064,3.2716241533954906,737.0,0.9980245951043346
3.0,0.009711492125337857,0.010148308084753232,34.348184585290504,0.0,10.053808333333336,-0.1290394583127044,-6.6576437691696295,3.3139361847181235,736.0,0.9985492822882719
4.0,0.009680178822966257,0.010073710119962291,34.45810356867727,0.0,10.054580000000017,-0.13030456281213496,-6.431705469044594,3.28676222790708,735.0,0.9987982541136264
5.0,0.009694360031288008,0.01007597621446694,34.46377549936399,0.0,10.05362166666667,-0.12846579297965316,-6.436685743153911,3.252802524016645,734.0,0.9991441117639854
6.0,0.009685621259851871,0.010063444479482354,34.425114050017704,0.0,10.054463333333327,-0.13190953356272567,-6.504092448423001,3.2590373460011053,733.0,0.9991877960406818
7.0,0.00965078884949286,0.010018661370597608,34.41398013733685,0.0,10.053576666666716,-0.14619710354599497,-6.483365920972857,3.232428439709631,732.0,0.9993553000210427
8.0,0.009658511946149568,0.010031648674323837,34.438019923794386,0.0,10.054229999999977,-0.1315136703536644,-6.68422725089685,3.273364728017876,731.0,0.9993853745993347
9.0,0.009662668410415581,0.010045676456191638,34.39316356361895,0.0,10.05356166666667,-0.1308638465255028,-6.455431218627833,3.2401558366408305,730.0,0.9995967532018243
10.0,0.00963538578954656,0.010019690499176111,34.42048134086772,0.0,10.053988333333352,-0.13204144082258082,-6.475726328400775,3.2169043845029,729.0,0.9994883514781704
11.0,0.009623284225203952,0.010007793306352276,34.38940783104766,0.0,10.054093333333306,-0.13144075501954536,-6.599016211513126,3.265034577343804,728.0,0.9997063921707878
12.0,0.009630139468555173,0.010020370066134694,34.41894485467641,0.0,10.054116666666657,-0.13161980820053581,-6.569055865072197,3.263291643340582,727.0,0.9996850734823782
13.0,0.009613990859619625,0.010001318061078051,34.47006517763107,0.0,10.053461666666651,-0.13208484717018543,-6.489810882869271,3.209547345397581,726.0,0.9996745093108895
14.0,0.009604027027475932,0.009995301086733356,34.424010324562964,0.0,10.053653333333326,-0.13154383931703253,-6.503619572327266,3.215894521062379,725.0,0.9996202608627045
15.0,0.009578418659564275,0.009965500440602158,34.45026813566347,0.0,10.053613333333367,-0.1323579224198292,-6.513135691898583,3.241029477314511,724.0,0.9996342512519734
16.0,0.009581117509152989,0.009986788597323458,34.48356972468787,0.0,10.054280000000047,-0.14330972768858705,-6.397678008238155,3.208355280707302,723.0,0.9995181405383139
17.0,0.009588320233515513,0.010005555509003746,34.45613256978675,0.0,10.053399999999964,-0.131185245915145,-6.406443895834149,3.2035621535496723,722.0,0.9996829796826238
18.0,0.009579210844000272,0.009998263985834099,34.464844691935696,0.0,10.0532916666667,-0.13116411950274287,-6.5057240464184325,3.254539587449009,721.0,0.9996171201630728
19.0,0.009577902568734437,0.009992623998021739,34.49337682019243,0.0,10.053815000000032,-0.13211614372425437,-6.337566865457855,3.1743116110193945,720.0,0.9996452912870425
20.0,0.009598927784125596,0.010022870041867816,34.473840122269635,0.0,10.053103333333395,-0.14804444874917064,-6.433946397929732,3.2293433329831367,719.0,0.9996100773820802
21.0,0.009599722128087358,0.010017754486121749,34.574019024096025,0.0,10.053480000000006,-0.13267399699209334,-6.431577528315194,3.2092657339264017,718.0,0.9996618513396464
