Cycle,voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,RUL,SOH
1,4.108361,0.05635025,-1.0989282,-0.33664876,0.50828314,1460.0001,0.00015651416,4.822753,0.23483321,0.10876705,-0.6087463,0.7208847,0.049783453,767.0201,-0.001110944,4.691244,942,1.0
2,4.1087556,0.057038333,-1.09927,-0.32797062,0.50982594,1464.6461,0.00015381369,4.827343,0.2345634,0.10920953,-0.60339296,0.7246126,0.05107349,788.6261,-0.0010799178,4.716718,941,0.9941263
3,4.108876,0.056802113,-1.1010859,-0.32752085,0.50762796,1458.1902,0.00015044212,4.8208675,0.23462471,0.110102706,-0.59557164,0.7292524,0.051751904,799.2341,-0.0010862604,4.726271,940,0.9919627
4,4.1090374,0.056495897,-1.1019393,-0.32757556,0.5047363,1450.0001,0.00015468284,4.81496,0.23430237,0.10911463,-0.60221976,0.725716,0.051621478,797.02606,-0.0010683995,4.7285805,939,0.9897425
5,4.108406,0.056727547,-1.1105803,-0.32592428,0.5047683,1450.0001,0.00015295076,4.8145523,0.23588277,0.10937329,-0.605516,0.7228796,0.05202606,798.9281,-0.0010634544,4.7335057,938,0.9876287
6,4.108481,0.056409772,-1.1116159,-0.32697016,0.5012839,1440.0001,0.00014931998,4.8065166,0.23422861,0.110413484,-0.5846469,0.73580015,0.052872587,816.02606,-0.001064097,4.7488575,937,0.9860227
7,4.109092,0.057260755,-1.1083865,-0.31865585,0.50499845,1450.6642,0.00015398348,4.8202477,0.23488103,0.10952107,-0.601389,0.72616184,0.05280968,814.9261,-0.0010488878,4.747922,936,0.983835
8,4.1085677,0.05664076,-1.1154339,-0.32098156,0.50128466,1440.0001,0.00015325921,4.8061757,0.23448072,0.10994115,-0.5872053,0.73320866,0.05331121,822.9241,-0.0010509618,4.7580314,935,0.98183703
9,4.108533,0.057131927,-1.1158066,-0.3190862,0.50424355,1448.5461,0.000152327,4.8130565,0.2357428,0.110168695,-0.595064,0.72948825,0.05358804,822.5221,-0.0010509038,4.7590804,934,0.979954
10,4.1087084,0.056897074,-1.1183072,-0.3184267,0.5011741,1440.0001,0.00015355999,4.805398,0.23501755,0.10925957,-0.6014703,0.7264423,0.05347436,824.2261,-0.0010340286,4.7597833,933,0.9780843
11,4.107907,0.057074834,-1.1259093,-0.31710026,0.50127393,1440.0001,0.00015083075,4.8041663,0.23443349,0.10998278,-0.589349,0.73303413,0.05425969,837.3301,-0.001037261,4.775327,932,0.97602534
12,4.1080766,0.05672998,-1.127644,-0.31747124,0.49770677,1430.0001,0.0001520446,4.7978787,0.23579976,0.11032587,-0.5923478,0.730332,0.054637328,839.4281,-0.0010306129,4.7767825,931,0.9742141
13,4.1087217,0.05677554,-1.1221544,-0.31614155,0.49773246,1430.0001,0.00015264998,4.798835,0.23468757,0.1092561,-0.5988192,0.72701424,0.05438194,839.4281,-0.001022735,4.7782583,930,0.9723232
14,4.108045,0.056977905,-1.131505,-0.31399274,0.49766812,1430.0001,0.00015113922,4.7972393,0.23571587,0.10977034,-0.60034215,0.7265095,0.05486152,841.4201,-0.0010110938,4.781065,929,0.9704845
15,4.109229,0.057286557,-1.1192093,-0.3101102,0.49821192,1431.3822,0.00014843472,4.8057523,0.23516679,0.11025248,-0.58808964,0.7330605,0.055355836,850.4261,-0.0010181478,4.7942314,928,0.969254
16,4.1084847,0.05750243,-1.1290698,-0.30922553,0.5000764,1436.4961,0.0001511568,4.803509,0.23360983,0.10943742,-0.58701295,0.7339794,0.05542084,859.22406,-0.001011663,4.7969513,927,0.9676595
17,4.1084414,0.05724447,-1.1317872,-0.30757946,0.49780914,1430.0001,0.00015158998,4.797768,0.23561543,0.109971374,-0.5948899,0.7295375,0.05584442,857.32806,-0.001007404,4.8009224,926,0.9653256
18,4.1085634,0.056889676,-1.1336292,-0.30766094,0.49424285,1420.0001,0.00015174459,4.790341,0.23681754,0.1100466,-0.59680635,0.7280893,0.05607925,855.5301,-0.0010046617,4.801202,925,0.9631219
19,4.1085744,0.057395477,-1.1338367,-0.30620828,0.49695143,1427.7582,0.00014776709,4.796919,0.23564212,0.10899688,-0.59908825,0.7267882,0.05589418,858.7261,-0.0009944094,4.803568,924,0.9615097
20,4.108579,0.057130028,-1.1353568,-0.3041053,0.49423355,1420.0001,0.00015130713,4.7905087,0.23435195,0.110192694,-0.58267474,0.7365816,0.056834526,877.02606,-0.0009964482,4.8189487,923,0.96030116
21,4.107801,0.057379343,-1.1453192,-0.3036014,0.49422678,1420.0001,0.00015143614,4.7879114,0.23566048,0.110225566,-0.5867129,0.7341457,0.05717416,877.7321,-0.0009893952,4.821413,922,0.95791245
22,4.1079254,0.056996495,-1.1471455,-0.3043634,0.49081525,1410.0001,0.00014962076,4.7829347,0.23464061,0.10919552,-0.5936166,0.7301849,0.056937262,878.02606,-0.0009825028,4.822005,921,0.95628977
23,4.1085734,0.057024322,-1.1420921,-0.3038057,0.49081016,1410.0001,0.00014871075,4.7813225,0.23397231,0.110059306,-0.57299495,0.74153394,0.057668384,890.32806,-0.0009857974,4.835784,920,0.95480156
24,4.1084213,0.0575589,-1.1445011,-0.2981435,0.49361184,1418.1542,0.00014962576,4.7885227,0.23375414,0.10875089,-0.58841795,0.733919,0.057402667,889.1261,-0.0009675625,4.8330483,919,0.95312834
25,4.108354,0.05720628,-1.1448694,-0.298763,0.4907157,1410.0001,0.0001520446,4.782121,0.23382197,0.108999416,-0.58735865,0.733605,0.057672076,891.63007,-0.0009684858,4.8390007,918,0.95155597
26,4.1083136,0.056945853,-1.1482996,-0.30160117,0.48721942,1400.0001,0.0001456846,4.7750154,0.23493877,0.10930175,-0.5902506,0.73227805,0.058022838,894.2321,-0.00096971786,4.8389306,917,0.94986296
27,4.108303,0.057422962,-1.1531895,-0.29448694,0.49078935,1410.0001,0.00015018284,4.7803793,0.23506111,0.1093195,-0.5916766,0.7307458,0.058703084,904.1241,-0.0009531128,4.8492656,916,0.9462447
28,4.1075883,0.057354145,-1.1598341,-0.29382378,0.487309,1400.0001,0.00014749999,4.773882,0.23435523,0.10971789,-0.57463956,0.7400105,0.0593932,915.3381,-0.0009535457,4.872147,915,0.94419074
29,4.10896,0.057666115,-1.1510012,-0.29206434,0.48825175,1402.9581,0.00014625203,4.7820053,0.23478796,0.11029323,-0.5761538,0.7395407,0.05992064,923.63007,-0.000951472,4.872466,914,0.94261503
30,4.107531,0.057603974,-1.1645343,-0.28978807,0.4873229,1400.0001,0.00014628998,4.7717957,0.2347567,0.10917662,-0.58459294,0.73352325,0.05958194,918.3301,-0.0009431717,4.8661146,913,0.9404254
31,4.108851,0.05787378,-1.1537459,-0.28813216,0.48786068,1401.5001,0.00014747914,4.779709,0.23469043,0.10968236,-0.5827123,0.73545283,0.06024364,929.3301,-0.00094096287,4.8778977,912,0.9388387
32,4.108887,0.057566807,-1.1548274,-0.28687418,0.48598388,1395.9922,0.00014766015,4.7726173,0.2343832,0.11010538,-0.5705642,0.74143267,0.06072777,936.3361,-0.00093728176,4.8854017,911,0.93736386
33,4.1086698,0.05810275,-1.1576426,-0.2842003,0.48763266,1400.8102,0.00014680348,4.7798834,0.23477817,0.108982794,-0.58705646,0.732179,0.060263343,929.14014,-0.0009338818,4.878813,910,0.9357116
34,4.107907,0.057482436,-1.1678652,-0.28567448,0.4837729,1390.0001,0.00014719921,4.763955,0.23354225,0.10951536,-0.57720906,0.73874176,0.060840875,941.5321,-0.00093005464,4.8907824,909,0.9345355
35,4.107743,0.057978056,-1.1684914,-0.28355217,0.48729458,1400.0001,0.00015046285,4.771338,0.23370022,0.10976252,-0.5709786,0.7417745,0.061194774,946.1361,-0.0009255401,4.8977327,908,0.9330547
36,4.1082606,0.05798814,-1.1658628,-0.28102246,0.48588753,1395.9802,0.00014591929,4.772014,0.23378512,0.10875931,-0.5824407,0.7349585,0.060924128,942.1301,-0.0009225339,4.89537,907,0.9312129
37,4.1088743,0.057972062,-1.1634178,-0.28235078,0.48422956,1391.1602,0.00014616178,4.7721715,0.23454757,0.10889178,-0.5862362,0.7324553,0.06114989,943.0401,-0.0009193318,4.89365,906,0.92981625
38,4.107955,0.05818268,-1.1721851,-0.27828357,0.48602808,1396.4342,0.00014631834,4.7706623,0.2332756,0.10964843,-0.5653406,0.7444864,0.062034983,960.4321,-0.00091625,4.913675,905,0.92860246
39,4.1085124,0.058175758,-1.1676502,-0.27798995,0.48447967,1391.6361,0.00014761712,4.770829,0.2341287,0.10988465,-0.56914705,0.7427762,0.06231874,962.4281,-0.00091623707,4.911186,904,0.92704725
40,4.10777,0.057559248,-1.1765443,-0.28032702,0.48038396,1380.0001,0.00014750074,4.7560697,0.23258848,0.10894003,-0.5687789,0.74300504,0.062190123,965.9281,-0.00090751203,4.9167233,903,0.9255965
41,4.1075873,0.058094032,-1.1771337,-0.27651364,0.483893,1390.0001,0.0001468107,4.763206,0.23332167,0.10904447,-0.5691931,0.7419091,0.062471844,968.9281,-0.0009050692,4.917363,902,0.9240782
42,4.107529,0.057757333,-1.1804442,-0.2762081,0.48036468,1380.0001,0.00014962076,4.7560377,0.23451644,0.10939594,-0.5747752,0.73935515,0.0627876,968.7381,-0.00090225105,4.917373,901,0.9224794
43,4.108639,0.05808611,-1.1715841,-0.27557206,0.48114267,1382.3582,0.00014742056,4.7640915,0.23533002,0.10962829,-0.57665676,0.7372226,0.06295715,967.0321,-0.00090552465,4.919133,900,0.9212065
44,4.1084294,0.057759687,-1.1755329,-0.27488163,0.47986105,1378.7062,0.00014619408,4.75692,0.23424675,0.11006571,-0.56243914,0.7461244,0.063596845,980.53613,-0.0008975325,4.931616,899,0.92012286
45,4.108197,0.05828143,-1.1780579,-0.27033362,0.48165038,1383.6842,0.00014660503,4.76195,0.23344027,0.10904333,-0.56617206,0.7436335,0.06342182,982.0321,-0.00089658477,4.931366,898,0.91842484
46,4.108168,0.05800487,-1.179044,-0.2709744,0.4799455,1378.6382,0.00014540889,4.756155,0.23581937,0.109068155,-0.5814375,0.73529625,0.06347575,974.0261,-0.0008924439,4.925635,897,0.91643333
47,4.1079297,0.058472253,-1.1803058,-0.26765683,0.48178598,1383.9481,0.00014469598,4.7623935,0.23402393,0.10976988,-0.561826,0.7466196,0.06431376,995.0001,-0.00088803185,4.9423532,896,0.91576743
48,4.1070704,0.05787295,-1.1905116,-0.26886535,0.47690472,1370.0001,0.00014719999,4.748311,0.23375328,0.108671315,-0.5731022,0.7393377,0.06391665,989.9281,-0.0008849542,4.940256,895,0.914191
49,4.1082816,0.058177523,-1.1815706,-0.2692567,0.47853982,1374.8582,0.00014802457,4.754755,0.23445505,0.10885979,-0.57521164,0.73856115,0.06401501,986.6281,-0.00088232727,4.94183,894,0.9126682
50,4.1079955,0.058658957,-1.184561,-0.26449642,0.48063755,1380.8582,0.00014535488,4.7612596,0.23327762,0.10924161,-0.56075615,0.74664974,0.06463052,1000.5261,-0.00087743986,4.955,893,0.9116478
51,4.1078753,0.058383435,-1.1874686,-0.26461658,0.47920817,1376.5101,0.0001470991,4.7544518,0.2344683,0.109508924,-0.5645894,0.74468786,0.065012485,1002.3241,-0.00087705354,4.953078,892,0.91007376
52,4.107742,0.058058284,-1.1882045,-0.26487592,0.47689036,1370.0001,0.00014484284,4.748209,0.23283738,0.108702235,-0.5620108,0.7461359,0.06485198,1006.2221,-0.000874574,4.957547,891,0.9087527
53,4.1076517,0.057743415,-1.1911042,-0.26477045,0.47345325,1360.0001,0.0001456846,4.739521,0.23316784,0.109019056,-0.56170166,0.7461617,0.06524109,1010.2201,-0.0008696415,4.973286,890,0.90733886
54,4.1073823,0.058289167,-1.1928498,-0.26095814,0.47688705,1370.0001,0.00014849355,4.7466645,0.2335391,0.109305225,-0.5585919,0.7480711,0.065726556,1017.32214,-0.0008678447,4.968477,889,0.90611506
55,4.1078687,0.058268882,-1.1911671,-0.2608932,0.47623298,1368.0082,0.00014578935,4.7470675,0.23376043,0.10964646,-0.5562497,0.749476,0.06605722,1020.3241,-0.0008688304,4.979856,888,0.90471745
56,4.1076093,0.058788553,-1.1950783,-0.2573425,0.47827324,1373.9022,0.00014583603,4.7521877,0.23450376,0.10965685,-0.55711585,0.74923384,0.0663838,1024.4221,-0.00086757477,4.971737,887,0.9033606
57,4.10674,0.058147002,-1.2033076,-0.25750226,0.47345683,1360.0001,0.00014386921,4.738688,0.23227014,0.10897853,-0.55151904,0.7518355,0.06630989,1031.4221,-0.00085715065,4.9779453,886,0.902133
58,4.107992,0.05845187,-1.1923862,-0.2564522,0.47495484,1364.2441,0.00014841034,4.747075,0.23337115,0.10922343,-0.5544238,0.7507398,0.06663407,1031.7222,-0.00085950305,4.980525,885,0.9006438
59,4.1071725,0.057809327,-1.2012012,-0.25757572,0.4699866,1350.0001,0.0001456846,4.7321296,0.23360908,0.109522246,-0.5509022,0.75219816,0.06704235,1037.3221,-0.00086117524,4.985728,884,0.89920425
60,4.106918,0.0583411,-1.2032475,-0.25266644,0.47343615,1360.0001,0.00014810922,4.7374773,0.233074,0.10987158,-0.543237,0.7566494,0.067550905,1047.9221,-0.00085458934,4.992442,883,0.8979659
61,4.1074967,0.058306027,-1.200548,-0.25463495,0.47348288,1360.0001,0.00014793212,4.738229,0.23216248,0.1088944,-0.5490789,0.7535472,0.06722342,1045.6221,-0.00084938103,4.993099,882,0.8966706
62,4.107214,0.058013137,-1.203311,-0.25425005,0.46993196,1350.0001,0.0001468946,4.7299614,0.23210241,0.10897578,-0.5446428,0.755625,0.06756452,1051.9241,-0.00085049216,4.998155,881,0.8954828
63,4.1069736,0.05853268,-1.2052107,-0.25060317,0.47346961,1360.0001,0.0001451214,4.7373796,0.23357108,0.10921498,-0.5517683,0.7526393,0.067689806,1047.6221,-0.00084337126,4.9931345,880,0.893764
64,4.1075053,0.058541752,-1.2029439,-0.25035536,0.47265047,1357.9781,0.00014553768,4.737006,0.2325726,0.10971123,-0.53855205,0.7597026,0.06833431,1061.5242,-0.0008461384,5.005941,879,0.8928869
65,4.10733,0.05819383,-1.2037853,-0.24995634,0.46987134,1350.0001,0.00014568427,4.731212,0.23225395,0.108676694,-0.5481061,0.75374854,0.06793266,1056.9221,-0.0008398338,5.0034943,878,0.89119077
66,4.106447,0.058414098,-1.2126356,-0.24642286,0.4699012,1350.0001,0.00014628998,4.728363,0.23262592,0.108868375,-0.5466908,0.7549392,0.06837548,1062.3221,-0.0008346564,5.007883,877,0.8900597
67,4.106905,0.058380704,-1.2091928,-0.24702169,0.46989697,1350.0001,0.00014680784,4.7296767,0.23385274,0.1090022,-0.54988176,0.75326395,0.068444565,1058.4221,-0.0008366469,5.003994,876,0.8882146
68,4.1081123,0.058693036,-1.2031174,-0.2469242,0.47016862,1350.5222,0.00014682254,4.7375994,0.2322193,0.109557115,-0.5320373,0.76344794,0.06921927,1077.3262,-0.00083973893,5.0179152,875,0.88733673
69,4.107277,0.058065034,-1.2097038,-0.24506705,0.46647435,1340.0001,0.00014455998,4.72331,0.23200269,0.108562954,-0.5410881,0.75882286,0.06887017,1073.5221,-0.0008344049,5.0161557,874,0.886116
70,4.1076946,0.058922656,-1.2060122,-0.24331418,0.47066036,1351.8782,0.00014320048,4.7375,0.23336259,0.108621985,-0.55281615,0.7517869,0.06887336,1065.7222,-0.0008255161,5.0162954,873,0.8843572
71,4.106748,0.05826777,-1.2143265,-0.24430601,0.46649417,1340.0001,0.00014416921,4.7224364,0.23171894,0.10920753,-0.5326449,0.76347035,0.0697658,1089.1221,-0.00082458195,5.029599,872,0.8837702
