Cycle,slope,intercept,Tavg,IR,chargetime,dQdV_max,dQdV_min,dQdV_var,RUL,SOH
1.0,0.010284153857390683,0.01033381589581487,33.0650358648425,0.017309055,10.179808333333252,-0.09495336843928219,-6.766570455532088,3.621709445347109,508.0,0.9910498846235775
2.0,0.010072129321329733,0.01013636289465061,32.56070341792297,0.017233955,10.114456666666714,-0.09556259775051924,-6.851651319769457,3.5408391896327918,507.0,0.9941428559765284
3.0,0.010244605703002882,0.010198276829317366,32.74446155769236,0.017316906,10.179430000000139,-0.10655882812174912,-6.72381536712619,3.601214288597454,506.0,0.9957520583317068
4.0,0.010385937060425144,0.010327805037574118,33.101811180286454,0.017092133,10.112523333333472,-0.09987921332076743,-6.806643203337877,3.6600098857392576,505.0,0.9967062610542786
5.0,0.010197109812782459,0.010135223283002776,32.74847861757319,0.017217251,10.179616666666698,-0.10622153942208888,-6.826373043982603,3.607269169671631,504.0,0.9966691505935077
6.0,0.010250323758853078,0.010132596371972202,32.979587425742736,0.017140094,10.112404999999853,-0.09253367838030443,-6.930085076733963,3.6947705426566677,503.0,0.9974113598089257
7.0,0.010288528819625331,0.010174442987901603,33.171479898502504,0.017011268,10.096499999999894,-0.09471007971857306,-6.909267036914104,3.678274544034275,502.0,0.9977716096068593
8.0,0.010141239889546032,0.010108360604885685,32.53322420528103,0.017188169,10.113205000000017,-0.08903693071422404,-6.756485042951923,3.550145390166844,501.0,0.9971680079624206
9.0,0.010211846559400918,0.010109340581092887,32.782895918987364,0.017111326,10.197663333333427,-0.09580497301491774,-6.7208571747591135,3.602752305322719,500.0,0.9979840669947727
10.0,0.01032197478327913,0.01023111622599439,32.898087936416296,0.017036978,10.231258333333487,-0.09885211680567019,-6.73096454435686,3.6586518959168584,499.0,0.9983442240165542
11.0,0.010107781489018086,0.010035956588105722,32.33325010817724,0.017209835,10.198114999999962,-0.10809500663563179,-6.529524308134409,3.5049119625553495,498.0,0.9978738489262831
12.0,0.010047097989581226,0.009910910827917941,32.762863561872905,0.017046172,10.182136666666581,-0.09532071146751311,-6.678622506371273,3.5360775967790294,497.0,0.9984960058011073
13.0,0.010039526443157152,0.009950984263197751,32.85794630800993,0.016945148,10.246231666666668,-0.10007244262048563,-6.547004594828909,3.468348539637745,496.0,0.9989027364511563
14.0,0.010090728045751212,0.010027145917087837,32.54114724247494,0.017163718,10.180221666666572,-0.09520870165004797,-6.707854385089324,3.516447421142111,495.0,0.9984369073923297
15.0,0.010083218353012109,0.009939064492463427,32.97079423564691,0.017015213,10.13052666666675,-0.09920871719270827,-6.460098994614035,3.534764325846777,494.0,0.99897992620956
16.0,0.009873884059205897,0.009795832573869373,32.85462258438284,0.016935222,10.113601666666606,-0.1387399476331793,-6.681643873700098,3.444373368775194,493.0,0.9988928094029002
17.0,0.010157618667527617,0.010085176147948504,32.6951695550847,0.017160751,10.096218333333187,-0.10156069129073092,-6.704819050371923,3.5659996710196165,492.0,0.9986913923770661
18.0,0.010124971492258373,0.010027227981651014,33.26955840958792,0.016943142,10.21297666666651,-0.09767178248306475,-6.684424186255636,3.5988373937690916,491.0,0.9993032510990263
19.0,0.010007220187420335,0.010018489935432607,32.90301369983556,0.016907401,10.113578333333134,-0.09525070168384459,-6.476136170002886,3.42488565986745,490.0,0.9991523970759927
