Cycle,voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,RUL,SOH
1,4.0964856,0.05661309,-1.2072184,0.01321156,0.352,317.16,0.0006217326,5.532997,0.23358884,0.11208732,-0.596844,0.74508023,0.059,912.36,-0.0009153381,6.428326,384,0.7999997
2,4.096422,0.056605697,-1.2083342,0.012997818,0.352,317.16,0.0006221973,5.5327396,0.23377551,0.11182139,-0.60702085,0.7390061,0.059,911.46,-0.00092081033,6.432963,383,0.83013725
3,4.096679,0.056609135,-1.2083931,0.011547036,0.351,315.42,0.00062398904,5.533429,0.23216853,0.11114118,-0.58606476,0.74812293,0.058,900.3,-0.0009536232,6.417358,382,0.8410959
4,4.0965195,0.056552168,-1.2081901,0.013800925,0.35,314.76,0.0006256256,5.530015,0.23232915,0.11104464,-0.57921034,0.7507546,0.058,895.08,-0.0009635417,6.4136853,381,0.84931517
5,4.096381,0.056640685,-1.2069653,0.016828785,0.35,314.58,0.0006265617,5.5291605,0.23206855,0.110907614,-0.5722297,0.75329167,0.057,887.1,-0.0009693778,6.405294,380,0.8575344
6,4.0965414,0.05642606,-1.2072332,0.013893399,0.348,312.78,0.000629014,5.5231442,0.23231308,0.110977955,-0.5696237,0.7536992,0.057,884.28,-0.0009846245,6.4017386,379,0.86575365
7,4.0963254,0.05645219,-1.2081395,0.015159345,0.348,312.48,0.00063117873,5.5234914,0.23135476,0.11066797,-0.55937976,0.7584571,0.057,881.7,-0.0009981906,6.3960023,378,0.871233
8,4.096311,0.056516394,-1.2098936,0.017016035,0.347,311.82,0.00063139934,5.519755,0.23127377,0.11056855,-0.55144155,0.7622966,0.056,879.06,-0.000997992,6.392117,377,0.8794522
9,4.09659,0.05649845,-1.2090888,0.017252998,0.346,311.82,0.00063163886,5.520303,0.23119625,0.110392496,-0.5500404,0.7617601,0.056,873.72,-0.0010138296,6.388037,376,0.88493156
10,4.0962687,0.056431513,-1.2069037,0.015589676,0.345,311.16,0.0006338297,5.5168138,0.23115987,0.11044574,-0.545365,0.76499367,0.056,872.22,-0.0010211769,6.3855433,375,0.8931508
