Cycle,voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,RUL,SOH
1,4.096651,0.056640543,-1.2096454,0.017046817,0.347,311.46,0.00063368713,5.5160823,0.2284432,0.111006975,-0.50224805,0.80319136,0.063,998.7,-0.00088960346,6.497288,535,0.7999501
2,4.0962486,0.056615744,-1.2072643,0.021917187,0.348,312.96,0.00063248834,5.5188165,0.230021,0.11078946,-0.5189739,0.7855309,0.06,939.54,-0.00094658363,6.449078,534,0.79849815
3,4.096606,0.05661526,-1.2081931,0.018168565,0.345,310.86,0.0006350717,5.5127993,0.22856832,0.10991623,-0.47491652,0.80057526,0.059,931.32,-0.0009916617,6.4386506,533,0.8303757
4,4.096226,0.05663939,-1.2064389,0.02396206,0.345,310.26,0.00063975,5.5153403,0.22740735,0.10924035,-0.4421296,0.81625396,0.058,916.98,-0.001027538,6.4281116,532,0.859252
5,4.096306,0.056426633,-1.2075044,0.024553677,0.344,309.66,0.00063877215,5.5118203,0.22742328,0.109493926,-0.45298448,0.8151359,0.058,923.52,-0.0010137041,6.431956,531,0.8696704
6,4.0962915,0.05631276,-1.2059287,0.022400362,0.342,307.74,0.00064151915,5.505905,0.2266876,0.10937146,-0.43369624,0.8238898,0.058,916.02,-0.0010380299,6.4210014,530,0.878036
7,4.0966125,0.056501795,-1.2076564,0.024590211,0.341,306.66,0.00064561673,5.502759,0.22735034,0.10899847,-0.44451007,0.81267285,0.056,894.66,-0.0010672607,6.4029026,529,0.8849411
8,4.0963616,0.056575954,-1.2103744,0.02344931,0.339,304.68,0.0006495194,5.4951715,0.22670636,0.108840615,-0.43207815,0.81742376,0.056,885.06,-0.0010679092,6.3898287,528,0.89097786
9,4.096098,0.0564865,-1.205433,0.024107879,0.341,306.96,0.00064599485,5.5027714,0.22694309,0.1092274,-0.43865675,0.81675917,0.057,902.52,-0.0010609884,6.4080896,527,0.90269756
10,4.0961204,0.0565681,-1.2074993,0.025061404,0.343,308.4,0.00064418756,5.5089498,0.22730045,0.109179825,-0.44726175,0.8119041,0.058,904.8,-0.0010410161,6.407838,526,0.90882635
11,4.0964565,0.05651052,-1.2071141,0.024418224,0.341,306.72,0.00064543117,5.498517,0.22736609,0.108817056,-0.43785924,0.815088,0.056,890.94,-0.0010670081,6.396421,525,0.91497993
12,4.0962706,0.056653127,-1.2076914,0.024383483,0.34,305.64,0.00064994814,5.495589,0.22645989,0.10859655,-0.42500588,0.8234212,0.056,883.26,-0.0010889034,6.385371,524,0.9210129
13,4.0959435,0.056524076,-1.2087392,0.024906375,0.337,303.66,0.0006531091,5.4883466,0.22607632,0.10860214,-0.4080147,0.82922566,0.054,872.76,-0.0011174242,6.3703156,523,0.92677736
14,4.0962305,0.056430146,-1.2086607,0.027063552,0.339,304.86,0.00064893893,5.4915686,0.22658949,0.108801134,-0.4283458,0.8206645,0.056,890.22,-0.0010833873,6.391104,522,0.9369526
15,4.0960956,0.056600712,-1.2073114,0.026785694,0.34,306.66,0.0006477523,5.4986496,0.22670266,0.108584404,-0.43164355,0.81985426,0.056,889.2,-0.0010791367,6.3925815,521,0.9412794
16,4.09617,0.056594796,-1.2081827,0.026391175,0.34,305.82,0.0006490478,5.4957404,0.22646926,0.10890467,-0.42180204,0.82497597,0.055,886.68,-0.0010896596,6.3811536,520,0.9451723
17,4.0961995,0.05657878,-1.2078677,0.026469827,0.338,303.9,0.00065234373,5.48823,0.22609812,0.10857247,-0.404853,0.8313386,0.055,875.76,-0.0011144578,6.374488,519,0.94869375
18,4.0960665,0.056653976,-1.2091192,0.027396534,0.337,302.82,0.00065656565,5.4846396,0.22594538,0.10811226,-0.41222328,0.82633626,0.054,867.48,-0.0011256005,6.366943,518,0.95190763
19,4.0960402,0.056589063,-1.2072482,0.027589304,0.339,304.62,0.0006531091,5.491808,0.22653863,0.10852422,-0.4279514,0.82065964,0.055,881.22,-0.0010978573,6.3825965,517,0.9576602
20,4.0959463,0.05641847,-1.207147,0.026239458,0.339,304.62,0.0006501043,5.491672,0.22641651,0.1087849,-0.4163126,0.82640684,0.056,890.04,-0.001088947,6.3907657,516,0.9602952
21,4.0963793,0.056516428,-1.2080144,0.024404813,0.339,304.74,0.0006503433,5.492456,0.22659217,0.1085717,-0.41899163,0.8235463,0.055,880.2,-0.0011152043,6.3817854,515,0.96281767
22,4.0958004,0.056523554,-1.2092155,0.027901858,0.336,302.4,0.0006564264,5.484455,0.22646713,0.10833395,-0.41417813,0.82503283,0.055,872.82,-0.0011167002,6.3746552,514,0.96526
23,4.096081,0.05654073,-1.2091786,0.027464783,0.334,300.54,0.00065926806,5.4778624,0.22591747,0.1084132,-0.4034024,0.8301231,0.055,871.02,-0.0011265223,6.368432,513,0.9676571
24,4.096089,0.056372445,-1.2077874,0.02684447,0.336,302.76,0.00065419945,5.485629,0.22610581,0.10862087,-0.42031094,0.82368034,0.055,883.74,-0.0011037528,6.3825054,512,0.9724355
25,4.096202,0.056404147,-1.2078149,0.026254665,0.338,303.78,0.0006520605,5.488196,0.22691359,0.10861593,-0.42575487,0.8213295,0.055,884.7,-0.0010885246,6.3891573,511,0.974792
26,4.096189,0.056522064,-1.2074609,0.028018318,0.337,303.54,0.0006540167,5.4882817,0.22598787,0.10835937,-0.41193873,0.82753694,0.054,873.18,-0.0011137176,6.3714876,510,0.97705317
27,4.096031,0.056474064,-1.2083113,0.024658661,0.335,301.44,0.00065720297,5.4813585,0.22637445,0.10830738,-0.41964182,0.82316685,0.055,877.2,-0.0011137176,6.378726,509,0.97916126
28,4.0958285,0.056631576,-1.2091153,0.029102549,0.334,300.54,0.00066098786,5.4769144,0.22649524,0.10847124,-0.42314327,0.8196153,0.055,861.9,-0.0011257904,6.3610144,508,0.9810567
